config,fold,valid_structure,t1,t2,n_nodes,n_leaves,moe_abs,f1_macro
tree_none,0,True,0.0256173899397254,0.383055716753006,5,3,0.5303030303030303,0.24691358024691357
tree_none,1,True,0.022320744581520557,0.027609807439148426,5,3,0.5416666666666666,0.2222222222222222
tree_none,2,True,0.015066704247146845,0.6350454092025757,5,3,0.5,0.2795698924731183
tree_none,3,True,0.40478119254112244,0.5347196459770203,5,3,0.5370370370370371,0.18666666666666668
tree_none,4,True,0.39970460534095764,0.5386154353618622,5,3,0.4191919191919191,0.24
tree_none,5,True,0.013259874656796455,0.023790731094777584,5,3,0.5,0.2619047619047619
tree_none,6,True,0.09125206992030144,0.3497856557369232,5,3,0.5,0.26666666666666666
tree_none,7,True,0.23742329329252243,0.5389762222766876,5,3,0.4595959595959596,0.24691358024691357
tree_none,8,True,0.39878979325294495,0.5281962156295776,5,3,0.5151515151515151,0.2380952380952381
tree_none,9,True,0.3996918499469757,0.5185515880584717,5,3,0.23846153846153847,0.5178571428571428
tree_none,10,True,0.3982503265142441,0.45074857771396637,5,3,0.5333333333333333,0.20512820512820515
tree_none,11,True,0.20895744115114212,0.3363962769508362,5,3,0.5104166666666666,0.30303030303030304
tree_none,12,True,0.019668557681143284,0.040576016530394554,5,3,0.48518518518518516,0.21333333333333335
tree_none,13,True,0.42334119975566864,0.526072770357132,5,3,0.28125,0.4375
tree_none,14,True,0.25081227719783783,0.37321802973747253,5,3,0.25,0.3793103448275862
tree_none,15,True,0.012055762577801943,0.1914609968662262,5,3,0.3333333333333333,0.46551724137931033
tree_none,16,True,0.14268872886896133,0.5728392601013184,5,3,0.3108974358974359,0.22672064777327935
tree_none,17,True,0.13655488938093185,0.5072748512029648,5,3,0.5,0.2916666666666667
tree_none,18,True,0.3188838064670563,0.5600403845310211,5,3,0.5416666666666666,0.2222222222222222
tree_none,19,True,0.3985847532749176,0.5062443017959595,5,3,0.48095238095238096,0.15873015873015872
tree_none,20,True,0.08197477459907532,0.24777336418628693,5,3,0.5,0.2916666666666667
tree_none,21,True,0.1257091499865055,0.3823857754468918,5,3,0.5,0.26666666666666666
tree_none,22,True,0.013404963072389364,0.04889221116900444,5,3,0.5,0.2795698924731183
tree_none,23,True,0.018980183638632298,0.13129962235689163,5,3,0.5606060606060607,0.23076923076923075
tree_none,24,True,0.399314820766449,0.4565276652574539,5,3,0.47222222222222227,0.34215167548500885
tree_none,25,True,0.0172604164108634,0.33544768393039703,5,3,0.5303030303030303,0.24691358024691357
tree_none,26,True,0.02083410508930683,0.3604362905025482,5,3,0.3106060606060606,0.4608695652173913
tree_none,27,True,0.054568177089095116,0.0936444103717804,5,3,0.5,0.2528735632183908
tree_none,28,True,0.3197350651025772,0.5134213268756866,5,3,0.3452380952380953,0.432183908045977
tree_none,29,True,0.014480175916105509,0.49248965084552765,5,3,0.5,0.2380952380952381
tree_none,30,True,0.02764301374554634,0.05843482166528702,5,3,0.462962962962963,0.21333333333333335
tree_none,31,True,0.1902700662612915,0.2915167212486267,5,3,0.40079365079365087,0.5210727969348659
tree_none,32,True,0.02549521066248417,0.14535042643547058,5,3,0.5,0.2222222222222222
tree_none,33,True,0.05176534131169319,0.4718175083398819,5,3,0.5357142857142857,0.26666666666666666
tree_none,34,True,0.32780827581882477,0.41655781865119934,5,3,0.5,0.2795698924731183
tree_none,35,True,0.31922800838947296,0.4579385668039322,5,3,0.425,0.3511111111111111
tree_none,36,True,0.023550422862172127,0.6162410080432892,5,3,0.5,0.2380952380952381
tree_none,37,True,0.01984978560358286,0.11072076112031937,5,3,0.5256410256410257,0.26666666666666666
tree_none,38,True,0.02087480667978525,0.14424601942300797,5,3,0.33585858585858586,0.39420289855072466
tree_none,39,True,0.006632929434999824,0.4589722007513046,5,3,0.4666666666666666,0.38697318007662834
tree_none,40,True,0.033428849652409554,0.10826990008354187,5,3,0.5,0.2916666666666667
tree_none,41,True,0.018857531249523163,0.02603772282600403,5,3,0.3636363636363636,0.38974358974358975
tree_none,42,True,0.356365829706192,0.4446477144956589,5,3,0.5166666666666667,0.2222222222222222
tree_none,43,True,0.046069877222180367,0.41418348252773285,5,3,0.47222222222222227,0.3140096618357488
tree_none,44,True,0.019286926835775375,0.3544005751609802,5,3,0.4583333333333333,0.2619047619047619
tree_none,45,True,0.13510532677173615,0.3183221220970154,5,3,0.5,0.2528735632183908
tree_none,46,True,0.19322678446769714,0.480191171169281,5,3,0.5833333333333334,0.24175824175824176
tree_none,47,True,0.18862202018499374,0.5422114431858063,5,3,0.5,0.2795698924731183
tree_none,48,True,0.02497757412493229,0.06536300852894783,5,3,0.3867521367521367,0.36684303350970016
tree_none,49,True,0.4018440991640091,0.538113921880722,5,3,0.5,0.2380952380952381
tree_balanced,0,True,0.383055716753006,0.4666926860809326,5,3,0.39393939393939387,0.2261904761904762
