cfg_id,max_features,representation,k,weights,metric,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
549,None,pca,3,uniform,cosine,0.6392607796425268,0.11046768087361888,0.6777777777777778,0.8036363636363637,0.48
551,None,pca,3,distance,cosine,0.6352847928633936,0.10783314317198263,0.6711111111111113,0.7845454545454548,0.4928571428571428
161,300,pca,1,uniform,cosine,0.6326607673603972,0.12189179649516149,0.653888888888889,0.7045454545454547,0.5742857142857143
163,300,pca,1,distance,cosine,0.6326607673603972,0.12189179649516149,0.653888888888889,0.7045454545454547,0.5742857142857143
555,None,pca,5,distance,cosine,0.6317204671110985,0.11240176066817159,0.6733333333333335,0.8127272727272729,0.4542857142857143
553,None,pca,5,uniform,cosine,0.6304895608590892,0.11278556961387981,0.6755555555555556,0.8245454545454546,0.4414285714285714
427,1000,pca,5,distance,cosine,0.6301356847799876,0.11918419322545866,0.6711111111111111,0.8063636363636364,0.4585714285714285
425,1000,pca,5,uniform,cosine,0.6244800044699594,0.1195621675803942,0.6705555555555556,0.8209090909090909,0.43428571428571433
421,1000,pca,3,uniform,cosine,0.6221702092918374,0.11996157668742086,0.6622222222222224,0.7872727272727272,0.46571428571428575
517,None,raw,3,uniform,cosine,0.6220270789357812,0.10307417318314452,0.6405555555555554,0.69,0.5628571428571427
523,None,raw,5,distance,cosine,0.6209721769359001,0.09885759576358383,0.6461111111111112,0.7200000000000002,0.53
291,500,pca,1,distance,cosine,0.6204350172825135,0.10984292428083962,0.6477777777777779,0.7181818181818183,0.537142857142857
289,500,pca,1,uniform,cosine,0.6204350172825135,0.10984292428083962,0.6477777777777779,0.7181818181818183,0.537142857142857
423,1000,pca,3,distance,cosine,0.6202809123019783,0.11432080281611919,0.6572222222222223,0.7709090909090911,0.47857142857142854
519,None,raw,3,distance,cosine,0.6199793342230077,0.10104358537204024,0.6377777777777778,0.6818181818181819,0.5685714285714286
521,None,raw,5,uniform,cosine,0.6198658814646464,0.1025385704258857,0.6466666666666667,0.7281818181818183,0.5185714285714286
546,None,pca,1,distance,euclidean,0.6123811289077105,0.1222794296298527,0.6366666666666667,0.6936363636363637,0.5471428571428572
544,None,pca,1,uniform,euclidean,0.6123811289077105,0.1222794296298527,0.6366666666666667,0.6936363636363637,0.5471428571428572
166,300,pca,3,distance,euclidean,0.6114928815232119,0.11691560845988072,0.6322222222222225,0.6790909090909092,0.5585714285714285
164,300,pca,3,uniform,euclidean,0.6102251974177839,0.11806038677442562,0.6338888888888888,0.6918181818181818,0.5428571428571428
27,100,raw,15,distance,cosine,0.607422004009038,0.1172323524623552,0.6411111111111112,0.7454545454545455,0.4771428571428571
518,None,raw,3,distance,euclidean,0.605678765959167,0.11709580488553849,0.6327777777777777,0.7118181818181819,0.5085714285714286
23,100,raw,11,distance,cosine,0.6054736494429925,0.09675775534785515,0.6344444444444445,0.7190909090909093,0.5014285714285713
19,100,raw,9,distance,cosine,0.6050759147908024,0.1111602364970424,0.6283333333333334,0.690909090909091,0.5299999999999998
550,None,pca,3,distance,euclidean,0.6042940565616364,0.1191085208264832,0.6422222222222221,0.7527272727272729,0.4685714285714285
391,1000,raw,3,distance,cosine,0.6041077593567499,0.1115908691713169,0.6305555555555555,0.7127272727272728,0.5014285714285713
17,100,raw,9,uniform,cosine,0.6029162785998295,0.10958395738873826,0.6311111111111111,0.7100000000000002,0.507142857142857
389,1000,raw,3,uniform,cosine,0.602295615970505,0.10777948266328347,0.6322222222222221,0.7281818181818183,0.4814285714285713
25,100,raw,15,uniform,cosine,0.601708621816456,0.11387331233972851,0.6394444444444445,0.7581818181818183,0.4528571428571428
416,1000,pca,1,uniform,euclidean,0.6003336282965674,0.1070456494104428,0.6322222222222222,0.7218181818181819,0.4914285714285714
418,1000,pca,1,distance,euclidean,0.6003336282965674,0.1070456494104428,0.6322222222222222,0.7218181818181819,0.4914285714285714
167,300,pca,3,distance,cosine,0.6001747181512593,0.1035029134514775,0.6316666666666667,0.7300000000000001,0.47714285714285704
21,100,raw,11,uniform,cosine,0.5993444131769478,0.09555465872772553,0.6322222222222222,0.7309090909090911,0.4771428571428571
548,None,pca,3,uniform,euclidean,0.5986785620869214,0.11424371721086315,0.6427777777777777,0.7772727272727272,0.4314285714285714
390,1000,raw,3,distance,euclidean,0.596837210676607,0.1139299033490273,0.6288888888888888,0.7254545454545455,0.4771428571428571
554,None,pca,5,distance,euclidean,0.5967355558429023,0.13078200009158092,0.6461111111111112,0.7990909090909092,0.40571428571428564
170,300,pca,5,distance,euclidean,0.5958332025223396,0.10835995854318063,0.6244444444444445,0.7054545454545456,0.4971428571428572
395,1000,raw,5,distance,cosine,0.5956116914699395,0.10698295392405767,0.6261111111111112,0.7136363636363636,0.48857142857142855
422,1000,pca,3,distance,euclidean,0.5950183487093166,0.11653056834501843,0.6411111111111112,0.7827272727272727,0.4185714285714286
295,500,pca,3,distance,cosine,0.5945124070443798,0.10567981718042326,0.6355555555555555,0.7663636363636364,0.42999999999999994
512,None,raw,1,uniform,euclidean,0.5943162367485493,0.11174379561128889,0.6172222222222223,0.6690909090909094,0.5357142857142858
514,None,raw,1,distance,euclidean,0.5943162367485493,0.11174379561128889,0.6172222222222223,0.6690909090909094,0.5357142857142858
293,500,pca,3,uniform,cosine,0.5935391943874716,0.10463887368750137,0.64,0.7872727272727272,0.40857142857142853
257,500,raw,1,uniform,cosine,0.593001500000874,0.10591267678707526,0.6183333333333334,0.6809090909090909,0.5199999999999999
259,500,raw,1,distance,cosine,0.593001500000874,0.10591267678707526,0.6183333333333334,0.6809090909090909,0.5199999999999999
417,1000,pca,1,uniform,cosine,0.5925837250635676,0.10481882095809299,0.6188888888888889,0.6836363636363637,0.5171428571428572
419,1000,pca,1,distance,cosine,0.5925837250635676,0.10481882095809299,0.6188888888888889,0.6836363636363637,0.5171428571428572
516,None,raw,3,uniform,euclidean,0.5925118730802806,0.11330769459764523,0.6261111111111111,0.729090909090909,0.4642857142857143
559,None,pca,7,distance,cosine,0.5920646759578918,0.10815686572573187,0.6483333333333334,0.8209090909090908,0.37714285714285717
299,500,pca,5,distance,cosine,0.5919426625627529,0.11372032676746831,0.6416666666666667,0.7927272727272728,0.40428571428571425
431,1000,pca,7,distance,cosine,0.5916114325829094,0.11242471291255009,0.6522222222222223,0.8327272727272728,0.3685714285714286
557,None,pca,7,uniform,cosine,0.5912780408538655,0.10700300482965115,0.6505555555555556,0.8318181818181817,0.3657142857142856
399,1000,raw,7,distance,cosine,0.5908952051850523,0.117859710828146,0.6244444444444445,0.7272727272727273,0.4628571428571428
545,None,pca,1,uniform,cosine,0.590627045255986,0.09943374214323394,0.6172222222222223,0.6836363636363639,0.5128571428571429
547,None,pca,1,distance,cosine,0.590627045255986,0.09943374214323394,0.6172222222222223,0.6836363636363639,0.5128571428571429
165,300,pca,3,uniform,cosine,0.5904704786020778,0.10716104967843743,0.6266666666666666,0.7363636363636366,0.45428571428571424
168,300,pca,5,uniform,euclidean,0.590396637737683,0.11182728078995385,0.6227777777777778,0.7163636363636365,0.4757142857142858
256,500,raw,1,uniform,euclidean,0.5903764162186258,0.11365292629995409,0.6183333333333333,0.692727272727273,0.5014285714285713
258,500,raw,1,distance,euclidean,0.5903764162186258,0.11365292629995409,0.6183333333333333,0.692727272727273,0.5014285714285713
552,None,pca,5,uniform,euclidean,0.5897327925433998,0.12390802886064428,0.6477777777777779,0.8218181818181819,0.3742857142857142
31,100,raw,21,distance,cosine,0.5895973460002704,0.10123619002242445,0.6366666666666667,0.7836363636363637,0.40571428571428575
29,100,raw,21,uniform,cosine,0.5892434399336574,0.10350587460373517,0.6416666666666667,0.8045454545454548,0.3857142857142858
397,1000,raw,7,uniform,cosine,0.5888065430462758,0.12252045949229665,0.6250000000000001,0.7372727272727271,0.44857142857142845
420,1000,pca,3,uniform,euclidean,0.5876762892389962,0.11854936022224678,0.64,0.799090909090909,0.39000000000000007
522,None,raw,5,distance,euclidean,0.5876112128816801,0.11407446022005391,0.6322222222222222,0.7709090909090911,0.41428571428571426
271,500,raw,7,distance,cosine,0.587399471037555,0.10807639106175806,0.6261111111111111,0.7481818181818182,0.4342857142857142
162,300,pca,1,distance,euclidean,0.5873792443885962,0.1001654834954707,0.601111111111111,0.6027272727272728,0.5985714285714285
160,300,pca,1,uniform,euclidean,0.5873792443885962,0.1001654834954707,0.601111111111111,0.6027272727272728,0.5985714285714285
393,1000,raw,5,uniform,cosine,0.5873590829963424,0.10924126196673117,0.6216666666666668,0.7209090909090909,0.4657142857142857
531,None,raw,9,distance,cosine,0.5872217802102376,0.11382976564444933,0.6244444444444446,0.7390909090909092,0.44428571428571423
539,None,raw,15,distance,cosine,0.5870850565617459,0.10034982892385787,0.6316666666666667,0.7645454545454546,0.42285714285714276
263,500,raw,3,distance,cosine,0.586887782239024,0.11481444004068694,0.6172222222222223,0.7072727272727274,0.4757142857142857
429,1000,pca,7,uniform,cosine,0.5868513914163465,0.11435797419237691,0.6505555555555556,0.8390909090909091,0.35428571428571426
558,None,pca,7,distance,euclidean,0.5866062273904111,0.12159313593717126,0.6494444444444444,0.8318181818181819,0.36285714285714277
261,500,raw,3,uniform,cosine,0.5864970755477554,0.1141572705278276,0.6194444444444445,0.7200000000000002,0.4614285714285713
527,None,raw,7,distance,cosine,0.5851984164854505,0.10566342375136697,0.6183333333333334,0.7190909090909092,0.4599999999999999
525,None,raw,7,uniform,cosine,0.5848646204215561,0.10152201253405525,0.6205555555555555,0.7300000000000001,0.44857142857142845
130,300,raw,1,distance,euclidean,0.5847956871496311,0.11536856434271182,0.6044444444444443,0.6427272727272727,0.5442857142857143
128,300,raw,1,uniform,euclidean,0.5847956871496311,0.11536856434271182,0.6044444444444443,0.6427272727272727,0.5442857142857143
386,1000,raw,1,distance,euclidean,0.5847362891580384,0.11215575315463588,0.6088888888888889,0.6627272727272728,0.5242857142857142
384,1000,raw,1,uniform,euclidean,0.5847362891580384,0.11215575315463588,0.6088888888888889,0.6627272727272728,0.5242857142857142
182,300,pca,11,distance,euclidean,0.5845826981349864,0.11499159846120878,0.638888888888889,0.7963636363636363,0.3914285714285714
267,500,raw,5,distance,cosine,0.5839519250209316,0.11747544734594531,0.6177777777777779,0.7154545454545458,0.4642857142857142
388,1000,raw,3,uniform,euclidean,0.5836635704279667,0.10750488015793408,0.6216666666666666,0.7372727272727273,0.43999999999999984
266,500,raw,5,distance,euclidean,0.5836379250410378,0.1221752270464179,0.6266666666666668,0.759090909090909,0.41857142857142854
269,500,raw,7,uniform,cosine,0.5831546183428503,0.10532303930021249,0.625,0.7572727272727273,0.41714285714285715
529,None,raw,9,uniform,cosine,0.583112278037692,0.11226201250969994,0.623888888888889,0.7481818181818183,0.4285714285714285
134,300,raw,3,distance,euclidean,0.5822743911128182,0.09907236571557142,0.6061111111111112,0.6618181818181819,0.5185714285714286
142,300,raw,7,distance,euclidean,0.5810181822559666,0.0993597878193786,0.6177777777777778,0.7254545454545455,0.44857142857142857
563,None,pca,9,distance,cosine,0.5806519359062837,0.1078171247354203,0.6411111111111112,0.8218181818181819,0.3571428571428571
