config_name,c_fn,c_fp,lambda,class_weight,pooled_moe_abs,mean_moe_abs,std_moe_abs,pooled_f1_macro,mean_f1_macro,valid_structure_rate,has_zero_recall,rec_uncertain,rec_borderline,rec_clear,passes_all_gates
c_fn_0.20_lambda_0.00_cw_None,0.2,0.8,0.0,None,0.49186781645798033,0.46423644411144416,0.10468927191399582,0.29165892202991445,0.2794088714071811,1.0,False,0.05303030303026286,0.032786885245883725,0.8820512820511313,True
c_fn_0.20_lambda_0.00_cw_balanced,0.2,0.8,0.0,balanced,0.41290819077704316,0.41444073056573055,0.1112021277166695,0.29328705583069475,0.2335786555122336,1.0,False,0.43939393939360655,0.4371584699451163,0.22735042735038846,True
c_fn_0.20_lambda_0.25_cw_None,0.2,0.8,0.25,None,0.49613102440971296,0.4711268361268361,0.0976295006225638,0.2998947300063914,0.2912906175691082,1.0,False,0.015151515151503675,0.0710382513660814,0.9213675213673638,True
c_fn_0.20_lambda_0.25_cw_balanced,0.2,0.8,0.25,balanced,0.4112311641000166,0.40812467162467164,0.10185215755791338,0.2758967225352034,0.2270096510529947,1.0,False,0.46212121212086205,0.4371584699451163,0.18803418803415586,True
c_fn_0.20_lambda_0.50_cw_None,0.2,0.8,0.5,None,0.49705875484564016,0.4753577348577349,0.09182327965575542,0.286127044772668,0.28047396874643576,1.0,False,0.015151515151503675,0.043715846994511635,0.9230769230767653,True
c_fn_0.20_lambda_0.50_cw_balanced,0.2,0.8,0.5,balanced,0.4100364723315543,0.41000217375217374,0.08261448817286932,0.2818650464376569,0.22642276501510583,1.0,False,0.5378787878783804,0.3497267759560931,0.2119658119657757,True
c_fn_0.20_lambda_0.75_cw_None,0.2,0.8,0.75,None,0.5042140615911107,0.4815635336885337,0.08631048122978399,0.2900879794023258,0.2788752982787022,1.0,True,0.0,0.07650273224039536,0.8923076923075397,False
c_fn_0.20_lambda_0.75_cw_balanced,0.2,0.8,0.75,balanced,0.4564533523549917,0.44405491267991265,0.10644789166219613,0.2885940805674243,0.23517586803754664,1.0,False,0.41666666666635105,0.32786885245883723,0.27350427350422674,True
c_fn_0.20_lambda_1.00_cw_None,0.2,0.8,1.0,None,0.49471257340109803,0.4705346320346321,0.09102016393064453,0.27910392425805336,0.27741729718194086,1.0,False,0.0075757575757518375,0.03825136612019768,0.926495726495568,True
c_fn_0.20_lambda_1.00_cw_balanced,0.2,0.8,1.0,balanced,0.44600853002492347,0.4395193417693417,0.09798032878902885,0.29160493827160494,0.23000609497025795,1.0,False,0.4090909090905992,0.27868852459001164,0.31452991452986073,True
c_fn_0.35_lambda_0.00_cw_None,0.35,0.65,0.0,None,0.49790071798268526,0.46964272764272763,0.09027139318951807,0.29498850281720806,0.2732874029535093,1.0,False,0.03787878787875919,0.060109289617453494,0.8683760683759199,True
c_fn_0.35_lambda_0.00_cw_balanced,0.35,0.65,0.0,balanced,0.4299805537510455,0.42405122192622197,0.1067768449954395,0.27174750663873165,0.22943822225619911,1.0,False,0.3863636363633437,0.43169398907080236,0.20683760683757146,True
c_fn_0.35_lambda_0.25_cw_None,0.35,0.65,0.25,None,0.47677744235121283,0.45610878935878935,0.0948444220255026,0.3200410248388064,0.29684841661190764,1.0,False,0.045454545454511025,0.08743169398902327,0.8991452991451454,True
c_fn_0.35_lambda_0.25_cw_balanced,0.35,0.65,0.25,balanced,0.43631364082183755,0.4206655011655013,0.10869402405445183,0.27951605429084503,0.23146913701388955,1.0,False,0.43939393939360655,0.30601092896158144,0.2615384615384168,True
c_fn_0.35_lambda_0.50_cw_None,0.35,0.65,0.5,None,0.48846037083742005,0.4634859168609169,0.08922009619083522,0.3015186283103974,0.28940652004638784,1.0,False,0.0075757575757518375,0.07650273224039536,0.9333333333331737,True
c_fn_0.35_lambda_0.50_cw_balanced,0.35,0.65,0.5,balanced,0.4258113926146712,0.4072268703518703,0.11705303658331571,0.30727285365715856,0.2610963503731576,1.0,False,0.43181818181785475,0.3224043715845233,0.31452991452986073,True
c_fn_0.35_lambda_0.75_cw_None,0.35,0.65,0.75,None,0.4941865056619155,0.47230940818440814,0.08757392136315743,0.2948269907334235,0.28563013642096374,1.0,True,0.0,0.08196721311470931,0.9145299145297582,False
c_fn_0.35_lambda_0.75_cw_balanced,0.35,0.65,0.75,balanced,0.460235180726984,0.438104908979909,0.09330257021019024,0.27521172039834124,0.22665944900674131,1.0,False,0.325757575757329,0.360655737704721,0.26495726495721966,True
c_fn_0.35_lambda_1.00_cw_None,0.35,0.65,1.0,None,0.49471257340109803,0.4705346320346321,0.09102016393064453,0.27910392425805336,0.27741729718194086,1.0,False,0.0075757575757518375,0.03825136612019768,0.926495726495568,True
c_fn_0.35_lambda_1.00_cw_balanced,0.35,0.65,1.0,balanced,0.44600853002492347,0.4395193417693417,0.09798032878902885,0.29160493827160494,0.23000609497025795,1.0,False,0.4090909090905992,0.27868852459001164,0.31452991452986073,True
c_fn_0.50_lambda_0.00_cw_None,0.5,0.5,0.0,None,0.4928520174421814,0.47219359344359346,0.09867078269758814,0.287827772061652,0.28289713857953547,1.0,False,0.03030303030300735,0.032786885245883725,0.9179487179485609,True
c_fn_0.50_lambda_0.00_cw_balanced,0.5,0.5,0.0,balanced,0.44259397251200533,0.4153237364487365,0.09814248224796518,0.27596132458133155,0.23804394951453772,1.0,False,0.43939393939360655,0.2732240437156977,0.2717948717948253,True
c_fn_0.50_lambda_0.25_cw_None,0.5,0.5,0.25,None,0.49181198279558935,0.4708835978835979,0.09885391553452565,0.2874490277393519,0.2825869729855165,1.0,False,0.015151515151503675,0.05464480874313954,0.9008547008545468,True
c_fn_0.50_lambda_0.25_cw_balanced,0.5,0.5,0.25,balanced,0.44119112520751863,0.4237926425426425,0.1035840812352726,0.28282443435467813,0.23333469108461258,1.0,False,0.4696969696966139,0.27868852459001164,0.2717948717948253,True
c_fn_0.50_lambda_0.50_cw_None,0.5,0.5,0.5,None,0.48932133440330167,0.46911149036149036,0.08816041943456084,0.3026634295679847,0.29798118503891036,1.0,False,0.015151515151503675,0.060109289617453494,0.9538461538459907,True
