config_name,c_fn,c_fp,lambda,threshold_mode,pooled_moe_abs,mean_moe_abs,std_moe_abs,pooled_f1_macro,mean_f1_macro,valid_structure_rate,has_zero_recall,rec_uncertain,rec_borderline,rec_clear,passes_all_gates
c_fn_0.20_lambda_0.00_mode_exact_free,0.2,0.8,0.0,exact_free,0.3531629875892171,0.34052490102490096,0.05486357322970796,0.14926149839942943,0.1432557488318156,1.0,False,0.0075757575757518375,0.9125683060104304,0.056410256410246766,True
c_fn_0.20_lambda_0.00_mode_exact_balanced_min_recall,0.2,0.8,0.0,exact_balanced_min_recall,0.3762321618878996,0.3646557655307655,0.07172503065244822,0.16775435431046537,0.15754277739579936,1.0,False,0.03030303030300735,0.8142076502727792,0.08205128205126802,True
c_fn_0.20_lambda_0.25_mode_exact_free,0.2,0.8,0.25,exact_free,0.34955417988204873,0.3378210446960447,0.06274669096821328,0.14797285318078743,0.14062808948777447,1.0,False,0.0075757575757518375,0.9071038251361164,0.056410256410246766,True
c_fn_0.20_lambda_0.25_mode_exact_balanced_min_recall,0.2,0.8,0.25,exact_balanced_min_recall,0.3690412956806399,0.3569436535686535,0.06830639417167597,0.16507149245610012,0.1560134036506361,1.0,False,0.0075757575757518375,0.8688524590159187,0.08547008547007086,True
c_fn_0.20_lambda_0.50_mode_exact_free,0.2,0.8,0.5,exact_free,0.34592212584015863,0.33430441317941306,0.05205813282664072,0.1445186812057694,0.14036273368923793,1.0,True,0.0,0.9398907103820001,0.05299145299144393,False
c_fn_0.20_lambda_0.50_mode_exact_balanced_min_recall,0.2,0.8,0.5,exact_balanced_min_recall,0.357319729450877,0.3441476255226255,0.05681177765736138,0.1683518238359388,0.1628076657532304,1.0,True,0.0,0.8961748633874885,0.09230769230767652,False
c_fn_0.20_lambda_0.75_mode_exact_free,0.2,0.8,0.75,exact_free,0.34410063221538634,0.3313403448403448,0.048740290570640374,0.15542645918372086,0.14796574617756472,1.0,True,0.0,0.950819672130628,0.06666666666665527,False
c_fn_0.20_lambda_0.75_mode_exact_balanced_min_recall,0.2,0.8,0.75,exact_balanced_min_recall,0.3538060300355383,0.3401870536870536,0.05402030267894392,0.1852320082408578,0.17762155747464675,1.0,True,0.0,0.9016393442618025,0.1196581196580992,False
c_fn_0.20_lambda_1.00_mode_exact_free,0.2,0.8,1.0,exact_free,0.3497441841704137,0.3368077108077108,0.05021588425876484,0.1655421600296353,0.15474607420966285,1.0,False,0.015151515151503675,0.9125683060104304,0.07521367521366235,True
c_fn_0.20_lambda_1.00_mode_exact_balanced_min_recall,0.2,0.8,1.0,exact_balanced_min_recall,0.3589418777943368,0.34493394568394564,0.05538473808985603,0.20333053604778215,0.18898269422754546,1.0,False,0.03787878787875919,0.8251366120214071,0.13504273504271194,True
c_fn_0.35_lambda_0.00_mode_exact_free,0.35,0.65,0.0,exact_free,0.36186879301633396,0.347627442002442,0.06915682493675973,0.1868498490096383,0.17355132950536098,1.0,False,0.03030303030300735,0.8415300546443489,0.1094017094016907,True
c_fn_0.35_lambda_0.00_mode_exact_balanced_min_recall,0.35,0.65,0.0,exact_balanced_min_recall,0.3680260995834766,0.35545417545417535,0.07187657892821125,0.20154537922495264,0.1895496437400462,1.0,False,0.03787878787875919,0.8087431693984652,0.13504273504271194,True
c_fn_0.35_lambda_0.25_mode_exact_free,0.35,0.65,0.25,exact_free,0.35636079160669326,0.34238197450697444,0.06758313073299858,0.17898432846101756,0.17073142946652164,1.0,False,0.0075757575757518375,0.8469945355186629,0.11794871794869778,True
c_fn_0.35_lambda_0.25_mode_exact_balanced_min_recall,0.35,0.65,0.25,exact_balanced_min_recall,0.3689928923535481,0.35708206145706145,0.0828633904946202,0.19685271658320666,0.17880566044585425,1.0,False,0.022727272727255513,0.7978142076498373,0.14188034188031762,True
c_fn_0.35_lambda_0.50_mode_exact_free,0.35,0.65,0.5,exact_free,0.3500804599165255,0.33392752617752613,0.05146985614296004,0.16765880810070888,0.15979023353866537,1.0,True,0.0,0.8797814207645466,0.10085470085468361,False
c_fn_0.35_lambda_0.50_mode_exact_balanced_min_recall,0.35,0.65,0.5,exact_balanced_min_recall,0.3674172366795318,0.34889744977244974,0.06385765696965309,0.1938593307023705,0.17633648807980482,1.0,False,0.022727272727255513,0.7923497267755234,0.13675213675211337,True
c_fn_0.35_lambda_0.75_mode_exact_free,0.35,0.65,0.75,exact_free,0.34524649606616825,0.3326410025160025,0.05004605178797849,0.1619433735998153,0.15398883181998002,1.0,True,0.0,0.9344262295076862,0.08034188034186661,False
c_fn_0.35_lambda_0.75_mode_exact_balanced_min_recall,0.35,0.65,0.75,exact_balanced_min_recall,0.3594774988217611,0.3448660274910275,0.06011053895329459,0.19191456903127382,0.18139150816080415,1.0,False,0.0075757575757518375,0.8524590163929768,0.13333333333331054,True
c_fn_0.35_lambda_1.00_mode_exact_free,0.35,0.65,1.0,exact_free,0.3497441841704137,0.3368077108077108,0.05021588425876484,0.1655421600296353,0.15474607420966285,1.0,False,0.015151515151503675,0.9125683060104304,0.07521367521366235,True
c_fn_0.35_lambda_1.00_mode_exact_balanced_min_recall,0.35,0.65,1.0,exact_balanced_min_recall,0.3589418777943368,0.34493394568394564,0.05538473808985603,0.20333053604778215,0.18898269422754546,1.0,False,0.03787878787875919,0.8251366120214071,0.13504273504271194,True
c_fn_0.50_lambda_0.00_mode_exact_free,0.5,0.5,0.0,exact_free,0.35737407704620816,0.34116563066563066,0.06279204540812727,0.22330117347256082,0.2007027067322531,1.0,False,0.0606060606060147,0.7595628415296396,0.16752136752133887,True
c_fn_0.50_lambda_0.00_mode_exact_balanced_min_recall,0.5,0.5,0.0,exact_balanced_min_recall,0.3601402847304487,0.3449618437118438,0.07103432058546635,0.2436226805385684,0.21688691156338216,1.0,False,0.1212121212120294,0.6994535519121862,0.17606837606834597,True
c_fn_0.50_lambda_0.25_mode_exact_free,0.5,0.5,0.25,exact_free,0.3567031177686915,0.3406518851518851,0.06175083051226017,0.20400310630195687,0.1885914069976528,1.0,False,0.03787878787875919,0.7814207650268955,0.14700854700852187,True
c_fn_0.50_lambda_0.25_mode_exact_balanced_min_recall,0.5,0.5,0.25,exact_balanced_min_recall,0.3588995248831314,0.3458922188922189,0.06207174756537316,0.22709060126796166,0.20520608155249426,1.0,False,0.09848484848477389,0.721311475409442,0.15555555555552894,True
c_fn_0.50_lambda_0.50_mode_exact_free,0.5,0.5,0.5,exact_free,0.34688562803316897,0.33368698431198424,0.05959520940121402,0.2012221346783086,0.18397286897455156,1.0,False,0.045454545454511025,0.8415300546443489,0.1213675213675006,True
c_fn_0.50_lambda_0.50_mode_exact_balanced_min_recall,0.5,0.5,0.5,exact_balanced_min_recall,0.36478753486950205,0.35231674344174335,0.06438347461251909,0.20251178309334114,0.18459207533167693,1.0,False,0.06818181818176654,0.7267759562837559,0.13333333333331054,True
c_fn_0.50_lambda_0.75_mode_exact_free,0.5,0.5,0.75,exact_free,0.3425826147137622,0.33002541440041433,0.04887754691289705,0.16311314053779807,0.15756981108111812,1.0,True,0.0,0.8961748633874885,0.09059829059827511,False
c_fn_0.50_lambda_0.75_mode_exact_balanced_min_recall,0.5,0.5,0.75,exact_balanced_min_recall,0.36137340194717243,0.35135394697894706,0.06421182804767353,0.19840491023655382,0.18036346808294582,1.0,False,0.045454545454511025,0.7540983606553257,0.13675213675211337,True
