variable,mccv_moe_abs,loo_moe_abs,loo_f1_macro
age,0.5317613267677038,0.34077380952380953,0.14141259384096827
fh,0.3444232988320562,0.21444604777938112,0.31140801644398763
cspca,0.32385676110121847,0.23518518518518516,0.11846153846153847
pirads,0.6539381576600677,0.602184637068358,0.07463343108504399
vol,0.46193343693343686,0.3371475953565506,0.2524801587301587
psa,0.5117680603723587,0.43672174329501917,0.1436084142394822
comorbidity,0.3103942506888478,0.21243386243386242,0.32407407407407407
psad,0.485899348786612,0.3841230936819172,0.20703125
dre,0.45569543975116733,0.3344155844155844,0.261046511627907
bx,0.48205766792819826,0.3678451178451178,0.17263328776486672
