arm,cfg_id,sigma_mult,x_train,y_train,encoder,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
hard,31,2.0,False,False,linear,0.5965403149185758,0.12181689451834142,0.6488888888888888,0.8018181818181818,0.40857142857142853
hard,29,2.0,False,True,linear,0.5965403149185758,0.12181689451834142,0.6488888888888888,0.8018181818181818,0.40857142857142853
hard,26,2.0,True,False,identity,0.5892127206127207,0.10871651434979385,0.6483333333333334,0.8236363636363637,0.37285714285714294
hard,24,2.0,True,True,identity,0.5892127206127207,0.10871651434979385,0.6483333333333334,0.8236363636363637,0.37285714285714294
hard,28,2.0,False,True,identity,0.5866147656323824,0.09716459775440178,0.6527777777777779,0.8454545454545455,0.35
hard,30,2.0,False,False,identity,0.5866147656323824,0.09716459775440178,0.6527777777777779,0.8454545454545455,0.35
hard,22,1.0,False,False,identity,0.5820791090029481,0.1083069610247788,0.6405555555555555,0.810909090909091,0.37285714285714294
hard,20,1.0,False,True,identity,0.5820791090029481,0.1083069610247788,0.6405555555555555,0.810909090909091,0.37285714285714294
hard,27,2.0,True,False,linear,0.5671886794686296,0.1056907606189886,0.6183333333333334,0.7681818181818183,0.3828571428571428
hard,25,2.0,True,True,linear,0.5671886794686296,0.1056907606189886,0.6183333333333334,0.7681818181818183,0.3828571428571428
hard,23,1.0,False,False,linear,0.5665062565079089,0.11398344741026394,0.6294444444444444,0.8072727272727271,0.3499999999999999
hard,21,1.0,False,True,linear,0.5665062565079089,0.11398344741026394,0.6294444444444444,0.8072727272727271,0.3499999999999999
hard,12,0.5,False,True,identity,0.5548065494118362,0.10980320516326855,0.61,0.7681818181818184,0.36142857142857143
hard,14,0.5,False,False,identity,0.5548065494118362,0.10980320516326855,0.61,0.7681818181818184,0.36142857142857143
hard,19,1.0,True,False,linear,0.5532102642994722,0.10424471789234885,0.6050000000000001,0.7509090909090911,0.37571428571428567
hard,17,1.0,True,True,linear,0.5532102642994722,0.10424471789234885,0.6050000000000001,0.7509090909090911,0.37571428571428567
hard,8,0.5,True,True,identity,0.5437639067195301,0.10610586855346033,0.5977777777777777,0.7545454545454546,0.3514285714285715
hard,10,0.5,True,False,identity,0.5437639067195301,0.10610586855346033,0.5977777777777777,0.7545454545454546,0.3514285714285715
hard,16,1.0,True,True,identity,0.5431950661688312,0.10273270869152357,0.596111111111111,0.7500000000000001,0.35428571428571426
hard,18,1.0,True,False,identity,0.5431950661688312,0.10273270869152357,0.596111111111111,0.7500000000000001,0.35428571428571426
hard,11,0.5,True,False,linear,0.5350003511929309,0.11256301207737403,0.5916666666666667,0.7536363636363638,0.3371428571428571
