cfg_id,sigma_scale,x_train,y_train,kernel_trainable,mean_macro_f1,std_macro_f1,condition
20,2.0,True,False,False,0.6344088472819762,0.10937522923993731,tab_mri
22,2.0,True,True,False,0.6288885559353724,0.10489290948222978,tab_mri
19,2.0,False,True,True,0.6237883648994599,0.1038940122769761,tab_mri
23,2.0,True,True,True,0.6235629427719447,0.11825834184259895,tab_mri
21,2.0,True,False,True,0.6219802825728287,0.11921198137635905,tab_mri
17,2.0,False,False,True,0.6132497463266209,0.10548657050856992,tab_mri
18,2.0,False,True,False,0.6003141999305044,0.1008484739461335,tab_mri
16,2.0,False,False,False,0.5947028005810615,0.09922503417514296,tab_mri
10,1.0,False,True,False,0.5593099984951211,0.10628941711245427,tab_mri
8,1.0,False,False,False,0.5580083647570927,0.10612905864680804,tab_mri
14,1.0,True,True,False,0.5488870662009004,0.1211479707022019,tab_mri
12,1.0,True,False,False,0.5481079350663346,0.11924993616275734,tab_mri
11,1.0,False,True,True,0.5421406917397226,0.11311397425803812,tab_mri
9,1.0,False,False,True,0.5418554356446064,0.1145859664724733,tab_mri
13,1.0,True,False,True,0.5350227212459647,0.11592862242376295,tab_mri
15,1.0,True,True,True,0.5309699563385121,0.11954365834370856,tab_mri
7,0.5,True,True,True,0.48101592900053,0.10430912677406166,tab_mri
3,0.5,False,True,True,0.4795690236703765,0.11223396358510249,tab_mri
6,0.5,True,True,False,0.47791679051282293,0.10664298762820303,tab_mri
5,0.5,True,False,True,0.47579311274057207,0.1045338984700741,tab_mri
4,0.5,True,False,False,0.4733951970247737,0.10684346923205122,tab_mri
2,0.5,False,True,False,0.46673808686091633,0.10335354659577588,tab_mri
0,0.5,False,False,False,0.46556664690832816,0.1056177011277744,tab_mri
1,0.5,False,False,True,0.4653805511889136,0.10575590175471741,tab_mri
16,2.0,False,False,False,0.5922183358786808,0.09356308715579091,tab_txt
18,2.0,False,True,False,0.5897289299142747,0.0923114917243423,tab_txt
20,2.0,True,False,False,0.5839493914700437,0.09930844382437015,tab_txt
17,2.0,False,False,True,0.5832365632895617,0.09571776980089645,tab_txt
22,2.0,True,True,False,0.5826620239663718,0.09539167679930338,tab_txt
19,2.0,False,True,True,0.5813872835171936,0.09628521020553346,tab_txt
21,2.0,True,False,True,0.5679341443982749,0.1043384361847736,tab_txt
23,2.0,True,True,True,0.567798637795377,0.10365192833941994,tab_txt
9,1.0,False,False,True,0.5635332418400635,0.1023637903500816,tab_txt
3,0.5,False,True,True,0.5609702425628593,0.0986644229802666,tab_txt
1,0.5,False,False,True,0.5592566668177249,0.10206810973746298,tab_txt
11,1.0,False,True,True,0.5587532036290657,0.10518991198146076,tab_txt
7,0.5,True,True,True,0.5582222730972731,0.10150515998962782,tab_txt
15,1.0,True,True,True,0.5575377658711992,0.10945415921417807,tab_txt
4,0.5,True,False,False,0.5571680424388831,0.0999855092563063,tab_txt
14,1.0,True,True,False,0.557108104322797,0.1046605616986571,tab_txt
5,0.5,True,False,True,0.556425555845121,0.10503939716391422,tab_txt
6,0.5,True,True,False,0.5525614630314422,0.10679176228302227,tab_txt
2,0.5,False,True,False,0.5498714105138018,0.09938682693124641,tab_txt
13,1.0,True,False,True,0.5480915422214523,0.107222205434577,tab_txt
12,1.0,True,False,False,0.5464742021402441,0.10464878415178805,tab_txt
0,0.5,False,False,False,0.5462063990500657,0.09639726082975714,tab_txt
10,1.0,False,True,False,0.542861657308209,0.10508969999068897,tab_txt
8,1.0,False,False,False,0.540060832207384,0.10264586604418462,tab_txt
21,2.0,True,False,True,0.5333520363573973,0.10705699103640656,mri_txt
20,2.0,True,False,False,0.5301919393439652,0.1045829197656596,mri_txt
22,2.0,True,True,False,0.5275536699098552,0.10405230905796134,mri_txt
23,2.0,True,True,True,0.5211944403302361,0.10028827403998854,mri_txt
12,1.0,True,False,False,0.5193044257593759,0.10920021287004643,mri_txt
13,1.0,True,False,True,0.5147774558175655,0.10495438479530513,mri_txt
6,0.5,True,True,False,0.5093833639124494,0.10201074190653009,mri_txt
4,0.5,True,False,False,0.5057210949553529,0.10893765838528745,mri_txt
9,1.0,False,False,True,0.5053310534875753,0.10327268772435694,mri_txt
11,1.0,False,True,True,0.5039407577124969,0.10793895361150437,mri_txt
14,1.0,True,True,False,0.4987570100220794,0.112415384199328,mri_txt
0,0.5,False,False,False,0.49720206598332534,0.10791522546357234,mri_txt
