rep,knn_k,sigma,sigma_mult,mean_macro_f1,std_macro_f1,arm
None,40,0.06012184192769902,0.2218883145079235,0.5455195140898297,0.10160890209226371,hard
None,None,0.06135268445052164,0.22643091606597668,0.5454506329709486,0.10099330166355439,hard
None,5,0.18016260496656145,0.6649160350320147,0.5412750346523599,0.10481079935420877,hard
0.9,3,0.03868470297904972,0.0728628730527492,0.538906630913644,0.0998438743191611,hard
0.9,5,0.040415187224866506,0.07612225064163791,0.5387538958432921,0.10576198275670642,hard
None,1,0.008467356942194915,0.03125000000000001,0.530345099362531,0.09688171741120066,hard
None,3,0.05507937001272304,0.20327834584606713,0.526226261305313,0.09810725929609578,hard
None,20,0.06135268445052164,0.22643091606597668,0.5206138911008477,0.10042882559700175,hard
0.9,10,0.28130879624448885,0.5298468265475458,0.5187375179860944,0.10358912607846728,hard
None,10,0.11518252811871466,0.42509770501971783,0.5175061479212173,0.09163910688192436,hard
0.9,40,0.2879067693768916,0.5422741490220667,0.515487199493048,0.1065470295431615,hard
0.9,None,0.2879067693768916,0.5422741490220667,0.515487199493048,0.1065470295431615,hard
0.9,20,0.2888680652037265,0.5440847555513385,0.5146949917008403,0.10656987414160232,hard
0.9,1,0.016591398574416914,0.03125,0.49566811859488547,0.10813478233717753,hard
None,1,0.008467356942194915,0.03125000000000001,0.530345099362531,0.09688171741120066,soft
0.9,3,0.03833894272653863,0.07221163151681068,0.5302495763453429,0.10471428476316809,soft
0.9,5,0.03973435562309134,0.07483990018395677,0.5261711436332146,0.11143894553536494,soft
None,5,0.0553500240899038,0.20427723368906697,0.5248762291135625,0.1034481725046143,soft
0.9,10,0.04115752440062468,0.07752044722153403,0.521472374517542,0.11828163090604331,soft
None,20,0.05817799358890553,0.21471426232115576,0.514913110132413,0.1106561368617462,soft
None,40,0.059999932094896784,0.22143838871631252,0.51338540343398,0.1023935536707945,soft
None,3,0.05458507316283983,0.20145407214834746,0.5133473647814373,0.10572112254156513,soft
None,None,0.06135268445052164,0.22643091606597668,0.5104071064630294,0.10241784804531676,soft
None,10,0.05659397586715989,0.20886821683819307,0.5103045470810479,0.10500718841488192,soft
0.9,20,0.3317594315413707,0.6248709045935381,0.49638953333301145,0.09510680738327656,soft
0.9,40,0.329824115619578,0.6212257252986908,0.4963010761380326,0.09650232797745628,soft
0.9,None,0.329824115619578,0.6212257252986908,0.4963010761380326,0.09650232797745628,soft
0.9,1,0.016591398574416914,0.03125,0.49566811859488547,0.10813478233717753,soft
