config_id,split_id,true_label,pred_label,count
euclidean_rigid_uniform_k1,0,0,0,2
euclidean_rigid_uniform_k1,0,0,1,5
euclidean_rigid_uniform_k1,0,1,0,1
euclidean_rigid_uniform_k1,0,1,1,10
euclidean_rigid_uniform_k1,1,0,0,5
euclidean_rigid_uniform_k1,1,0,1,2
euclidean_rigid_uniform_k1,1,1,0,3
euclidean_rigid_uniform_k1,1,1,1,8
euclidean_rigid_uniform_k1,2,0,0,2
euclidean_rigid_uniform_k1,2,0,1,5
euclidean_rigid_uniform_k1,2,1,0,4
euclidean_rigid_uniform_k1,2,1,1,7
euclidean_rigid_uniform_k1,3,0,0,3
euclidean_rigid_uniform_k1,3,0,1,4
euclidean_rigid_uniform_k1,3,1,0,2
euclidean_rigid_uniform_k1,3,1,1,9
euclidean_rigid_uniform_k1,4,0,0,2
euclidean_rigid_uniform_k1,4,0,1,5
euclidean_rigid_uniform_k1,4,1,0,3
euclidean_rigid_uniform_k1,4,1,1,8
euclidean_rigid_uniform_k1,5,0,0,2
euclidean_rigid_uniform_k1,5,0,1,5
euclidean_rigid_uniform_k1,5,1,0,2
euclidean_rigid_uniform_k1,5,1,1,9
euclidean_rigid_uniform_k1,6,0,0,5
euclidean_rigid_uniform_k1,6,0,1,2
euclidean_rigid_uniform_k1,6,1,0,1
euclidean_rigid_uniform_k1,6,1,1,10
euclidean_rigid_uniform_k1,7,0,0,3
euclidean_rigid_uniform_k1,7,0,1,4
euclidean_rigid_uniform_k1,7,1,0,6
euclidean_rigid_uniform_k1,7,1,1,5
euclidean_rigid_uniform_k1,8,0,0,2
euclidean_rigid_uniform_k1,8,0,1,5
euclidean_rigid_uniform_k1,8,1,0,2
euclidean_rigid_uniform_k1,8,1,1,9
euclidean_rigid_uniform_k1,9,0,0,2
euclidean_rigid_uniform_k1,9,0,1,5
euclidean_rigid_uniform_k1,9,1,0,0
euclidean_rigid_uniform_k1,9,1,1,11
euclidean_rigid_uniform_k1,10,0,0,4
euclidean_rigid_uniform_k1,10,0,1,3
euclidean_rigid_uniform_k1,10,1,0,4
euclidean_rigid_uniform_k1,10,1,1,7
euclidean_rigid_uniform_k1,11,0,0,2
euclidean_rigid_uniform_k1,11,0,1,5
euclidean_rigid_uniform_k1,11,1,0,3
euclidean_rigid_uniform_k1,11,1,1,8
euclidean_rigid_uniform_k1,12,0,0,4
euclidean_rigid_uniform_k1,12,0,1,3
euclidean_rigid_uniform_k1,12,1,0,2
euclidean_rigid_uniform_k1,12,1,1,9
euclidean_rigid_uniform_k1,13,0,0,1
euclidean_rigid_uniform_k1,13,0,1,6
euclidean_rigid_uniform_k1,13,1,0,1
euclidean_rigid_uniform_k1,13,1,1,10
euclidean_rigid_uniform_k1,14,0,0,2
euclidean_rigid_uniform_k1,14,0,1,5
euclidean_rigid_uniform_k1,14,1,0,3
euclidean_rigid_uniform_k1,14,1,1,8
euclidean_rigid_uniform_k1,15,0,0,4
euclidean_rigid_uniform_k1,15,0,1,3
euclidean_rigid_uniform_k1,15,1,0,1
euclidean_rigid_uniform_k1,15,1,1,10
euclidean_rigid_uniform_k1,16,0,0,3
euclidean_rigid_uniform_k1,16,0,1,4
euclidean_rigid_uniform_k1,16,1,0,1
euclidean_rigid_uniform_k1,16,1,1,10
euclidean_rigid_uniform_k1,17,0,0,2
euclidean_rigid_uniform_k1,17,0,1,5
euclidean_rigid_uniform_k1,17,1,0,3
euclidean_rigid_uniform_k1,17,1,1,8
euclidean_rigid_uniform_k1,18,0,0,2
euclidean_rigid_uniform_k1,18,0,1,5
euclidean_rigid_uniform_k1,18,1,0,1
euclidean_rigid_uniform_k1,18,1,1,10
euclidean_rigid_uniform_k1,19,0,0,5
euclidean_rigid_uniform_k1,19,0,1,2
euclidean_rigid_uniform_k1,19,1,0,2
euclidean_rigid_uniform_k1,19,1,1,9
euclidean_rigid_uniform_k1,20,0,0,3
euclidean_rigid_uniform_k1,20,0,1,4
euclidean_rigid_uniform_k1,20,1,0,5
euclidean_rigid_uniform_k1,20,1,1,6
euclidean_rigid_uniform_k1,21,0,0,5
euclidean_rigid_uniform_k1,21,0,1,2
euclidean_rigid_uniform_k1,21,1,0,3
euclidean_rigid_uniform_k1,21,1,1,8
euclidean_rigid_uniform_k1,22,0,0,3
euclidean_rigid_uniform_k1,22,0,1,4
