rep,knn_k,sigma,sigma_mult,mean_macro_f1,std_macro_f1,arm
None,None,0.06135268445052164,0.22643091606597668,0.5454506329709486,0.10099330166355439,hard
None,5,0.18016260496656145,0.6649160350320147,0.5412750346523599,0.10481079935420877,hard
0.9,5,0.040415187224866506,0.07612225064163791,0.5387538958432921,0.10576198275670642,hard
None,20,0.06135268445052164,0.22643091606597668,0.5206138911008477,0.10042882559700175,hard
0.9,None,0.2879067693768916,0.5422741490220667,0.515487199493048,0.1065470295431615,hard
0.9,20,0.2888680652037265,0.5440847555513385,0.5146949917008403,0.10656987414160232,hard
0.9,5,0.03973435562309134,0.07483990018395677,0.5261711436332146,0.11143894553536494,soft
None,5,0.0553500240899038,0.20427723368906697,0.5248762291135625,0.1034481725046143,soft
None,20,0.05817799358890553,0.21471426232115576,0.514913110132413,0.1106561368617462,soft
None,None,0.06135268445052164,0.22643091606597668,0.5104071064630294,0.10241784804531676,soft
0.9,20,0.3317594315413707,0.6248709045935381,0.49638953333301145,0.09510680738327656,soft
0.9,None,0.329824115619578,0.6212257252986908,0.4963010761380326,0.09650232797745628,soft
