rep,knn_k,sigma,sigma_mult,mean_macro_f1,std_macro_f1,arm
"(500, 0.9)",5,0.3458018588297127,0.26894338288109837,0.643587251943178,0.11358951301698518,hard
"(500, 0.9)",None,0.293158305228481,0.22800046996468826,0.6403209982437906,0.11189262437572116,hard
"(500, 0.9)",20,0.2590254940331146,0.20145407214834746,0.6398303241727187,0.11192660127472545,hard
"(2000, 0.9)",5,0.6168514860562988,0.4714312633583657,0.6270682833706828,0.11798567426775702,hard
"(None, 0.9)",5,0.6168514860562988,0.4714312633583657,0.6270682833706828,0.11798567426775702,hard
"(2000, 0.9)",None,0.42070432645559014,0.3215249968664057,0.6184667582015407,0.11957485209316712,hard
"(None, 0.9)",None,0.42070432645559014,0.3215249968664057,0.6184667582015407,0.11957485209316712,hard
"(2000, 0.9)",20,0.29627701410674434,0.22643091606597673,0.6108456573063047,0.11291988751477655,hard
"(None, 0.9)",20,0.29627701410674434,0.22643091606597673,0.6108456573063047,0.11291988751477655,hard
"(500, 0.9)",None,0.2609657038533896,0.202963047821092,0.6418732500947302,0.10666804805884053,soft
"(500, 0.9)",5,0.29114020517376493,0.2264309160659767,0.6418302702697808,0.11350839297202099,soft
"(2000, 0.9)",5,0.38714043387165137,0.2958736551062813,0.6400564512925092,0.11191308276086472,soft
"(None, 0.9)",5,0.38714043387165137,0.2958736551062813,0.6400564512925092,0.11191308276086472,soft
"(2000, 0.9)",None,0.3688201164180011,0.28187227779337587,0.6380592628386106,0.11486528304082137,soft
"(None, 0.9)",None,0.3688201164180011,0.28187227779337587,0.6380592628386106,0.11486528304082137,soft
"(2000, 0.9)",20,0.3383724775753575,0.25860254566119667,0.6338195025215283,0.11131589563903706,soft
"(None, 0.9)",20,0.3383724775753575,0.25860254566119667,0.6338195025215283,0.11131589563903706,soft
"(500, 0.9)",20,0.2702423014054664,0.21017781391785448,0.6329958703554711,0.11037446826370122,soft
