config_id,Macro_F1_mean_39,Macro_F1_mean_37,delta_mean_37_minus_39,delta_std,delta_se,delta_ci95_half,delta_ci95_low,delta_ci95_high,wilcoxon_p,n_folds_positive_delta,n_folds_negative_delta,is_exp3_winner,is_exp4_winner
manhattan_fuzzy_confidence_inverse_distance_k3,0.551421593250231,0.6430284922776778,0.09160689902744687,0.07937485180317816,0.011225299193140907,0.022558083287902795,0.06904881573954408,0.11416498231534966,3.961416187126134e-08,42,5,False,True
manhattan_rigid_uniform_k1,0.5491773521745053,0.6319245731793719,0.0827472210048667,0.09895789404319787,0.013994759585977012,0.02812352231355645,0.05462369869131025,0.11087074331842314,9.208873957672006e-07,38,4,False,False
manhattan_fuzzy_confidence_uniform_k1,0.5491773521745053,0.6319245731793719,0.0827472210048667,0.09895789404319787,0.013994759585977012,0.02812352231355645,0.05462369869131025,0.11087074331842314,9.208873957672006e-07,38,4,False,False
manhattan_rigid_inverse_distance_k1,0.5491773521745053,0.6319245731793719,0.0827472210048667,0.09895789404319787,0.013994759585977012,0.02812352231355645,0.05462369869131025,0.11087074331842314,9.208873957672006e-07,38,4,False,False
manhattan_fuzzy_confidence_inverse_distance_k1,0.5491773521745053,0.6319245731793719,0.0827472210048667,0.09895789404319787,0.013994759585977012,0.02812352231355645,0.05462369869131025,0.11087074331842314,9.208873957672006e-07,38,4,False,False
euclidean_fuzzy_confidence_inverse_distance_k15,0.5442448162121403,0.6075951790846864,0.06335036287254621,0.07046429886569663,0.009965156711897927,0.020025732162342307,0.0433246307102039,0.08337609503488852,3.281056189888812e-06,36,5,False,False
manhattan_fuzzy_confidence_uniform_k15,0.5666198585633369,0.6288997964773843,0.06227993791404748,0.1029769645889811,0.014563141993375103,0.029265729524683554,0.03301420838936392,0.09154566743873103,4.089096118339353e-05,33,11,False,False
cosine_rigid_uniform_k15,0.5352080849388967,0.5970068283344162,0.061798743395519544,0.11223897824037432,0.015872988525443606,0.03189796467996803,0.029900778715551517,0.09369670807548758,0.00040182177438560193,30,9,False,False
euclidean_rigid_uniform_k21,0.48537331450285437,0.546911438725082,0.06153812422222753,0.117422398588863,0.016606034861074943,0.033371076443721094,0.028167047778506434,0.09490920066594863,0.0009007549393324481,32,10,False,False
euclidean_fuzzy_confidence_uniform_k15,0.5383225972073125,0.597846253533587,0.05952365632627445,0.08814172820393439,0.012465122743700714,0.025049601993517436,0.03447405433275702,0.08457325831979189,4.474930931944701e-05,35,8,False,False
cosine_fuzzy_confidence_inverse_distance_k15,0.5437743210887915,0.6019232191682723,0.05814889807948093,0.09509397616913587,0.013448319079837583,0.02702540900385428,0.03112348907562665,0.08517430708333522,0.00015560929061703312,29,10,False,False
euclidean_rigid_inverse_distance_k21,0.5092887146421676,0.5669200762487141,0.057631361606546465,0.1123069826498214,0.01588260580125773,0.03191729131929274,0.025714070287253726,0.0895486529258392,0.0008068851043580792,28,10,False,False
cosine_fuzzy_confidence_uniform_k15,0.5414925108700248,0.5989283135544006,0.05743580268437585,0.10286899522944226,0.014547872820117045,0.029235044972212725,0.028200757712163124,0.08667084765658857,0.00024927688766670315,27,13,False,False
minkowski_p3_rigid_inverse_distance_k21,0.5048765347134979,0.5601192166690688,0.055242681955570874,0.1038008953283949,0.01467966339598861,0.029499888049971227,0.025742793905599647,0.0847425700055421,0.0007596079149828765,31,13,False,False
euclidean_fuzzy_confidence_inverse_distance_k3,0.5489082054303215,0.6022094851489925,0.05330127971867102,0.07246246374999508,0.010247739899821182,0.020593604339221916,0.0327076753794491,0.07389488405789293,2.210688834326894e-05,30,9,False,False
manhattan_rigid_uniform_k15,0.5593594126538671,0.6122688123299851,0.052909399676117935,0.09528427769589665,0.013475231779846124,0.027079492099355736,0.0258299075767622,0.07998889177547366,0.00028304892741161516,29,11,False,False
minkowski_p3_rigid_uniform_k21,0.49300665504758917,0.5448562212945314,0.05184956624694209,0.09713073696474875,0.01373636055388414,0.027604250017364447,0.024245316229577644,0.07945381626430653,0.0006720739635367712,31,9,False,False
manhattan_rigid_inverse_distance_k15,0.5584448479637402,0.6060814872279673,0.04763663926422709,0.08798277213282851,0.012442642960542769,0.025004427177947194,0.0226322120862799,0.07264106644217429,0.00015532003351252053,23,8,False,False
euclidean_fuzzy_confidence_inverse_distance_k21,0.558939354933964,0.6049236393004801,0.045984284366516165,0.09401921515314725,0.013296324919325484,0.02671996530270092,0.019264319063815243,0.07270424966921708,0.0015481825550302585,26,14,False,False
minkowski_p3_fuzzy_confidence_uniform_k15,0.5426477006426865,0.5869179535726784,0.04427025292999179,0.08536886355742322,0.012072980464728619,0.024261562580263688,0.0200086903497281,0.06853181551025547,0.0021870774627604775,31,11,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k3,0.5416708718284502,0.584739628982515,0.043068757154064725,0.07895163581323089,0.01116544741386125,0.02243780663436427,0.020630950519700455,0.06550656378842899,0.0007138323509985183,27,12,False,False
cosine_rigid_inverse_distance_k15,0.5331754233689017,0.5742076044504096,0.04103218108150805,0.088735585493597,0.012549106847016215,0.02521837436785277,0.01581380671365528,0.06625055544936082,0.002123695465213116,25,11,False,False
manhattan_rigid_inverse_distance_k21,0.5247081447574723,0.5651124474915362,0.04040430273406401,0.10099857234618188,0.014283355079229064,0.02870347667034287,0.011700826063721137,0.06910777940440688,0.009593612615206783,23,9,False,False
minkowski_p3_fuzzy_confidence_uniform_k3,0.553991476345454,0.5934053995537574,0.039413923208303336,0.08483216552149626,0.011997079900597927,0.02410903468610251,0.015304888522200827,0.06352295789440585,0.004964040753569917,28,12,False,False
euclidean_rigid_inverse_distance_k15,0.5372868885829177,0.5759762389560008,0.03868935037308304,0.0822024523777886,0.01162518230129971,0.023361678479805,0.01532767189327804,0.062051028852888046,0.0021840800852866177,26,10,False,False
cosine_fuzzy_confidence_inverse_distance_k21,0.5290208744842949,0.5674259689863138,0.03840509450201894,0.11217364067461767,0.015863748398281058,0.031879395949234245,0.006525698552784696,0.07028449045125318,0.02042235248060268,30,13,False,False
minkowski_p3_rigid_inverse_distance_k15,0.5289645496489621,0.5659160612334526,0.03695151158449045,0.07633020433967498,0.010794721019587804,0.021692804052682143,0.015258707531808306,0.058644315637172595,0.0012088745138352135,24,12,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k15,0.5435715970299225,0.5798475344356216,0.03627593740569915,0.08034763083845406,0.011362870923628846,0.022834544030820376,0.013441393374878773,0.05911048143651952,0.004250692468618734,29,8,False,False
cosine_rigid_uniform_k21,0.48632334906210933,0.5222326236593103,0.035909274597200974,0.09908860874757913,0.014013245436750772,0.02816067102150866,0.007748603575692313,0.06406994561870963,0.01083278221292173,31,12,False,False
euclidean_fuzzy_confidence_uniform_k21,0.5637853359318227,0.5993617705447563,0.03557643461293348,0.08702131789393916,0.012306672798118926,0.0247311849065518,0.01084524970638168,0.06030761951948528,0.00894160098836528,29,15,False,False
manhattan_fuzzy_confidence_inverse_distance_k15,0.5805944140679569,0.6160958461085935,0.035501432040636514,0.08854438575023826,0.012522067119998197,0.025164036002018626,0.010337396038617889,0.060665468042655143,0.008887789674078276,26,8,False,False
manhattan_fuzzy_confidence_uniform_k3,0.5537898601398602,0.5876897476107397,0.03389988747087953,0.10340457015093979,0.014623614551881917,0.029387253680784698,0.004512633790094835,0.06328714115166423,0.02700862901860381,25,15,False,False
minkowski_p3_rigid_uniform_k15,0.5166236075805063,0.5498494860274508,0.03322587844694453,0.07126345879813632,0.010078174993394065,0.020252850902179848,0.012973027544764683,0.05347872934912438,0.0031932743656504525,25,10,False,False
cosine_rigid_inverse_distance_k21,0.5016138856590131,0.5332870195586108,0.03167313389959777,0.08025181412620358,0.011349320394232183,0.02280731322249485,0.008865820677102919,0.05448044712209262,0.00954897393350953,22,8,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k21,0.5585341848230191,0.5871124209983344,0.028578236175315207,0.08524441690694141,0.01205538105063829,0.024226195233519782,0.004352040941795424,0.05280443140883499,0.018218946241856392,25,12,False,False
manhattan_rigid_uniform_k21,0.5263445518527228,0.5546418630234222,0.02829731117069948,0.12435428037328608,0.017586350984304756,0.03534109544952226,-0.007043784278822782,0.06363840662022174,0.060411966841513356,25,18,False,False
euclidean_rigid_uniform_k15,0.5287139460943877,0.5569871146342676,0.028273168539880076,0.08124425023559183,0.011489672054800748,0.023089360444063407,0.005183808095816669,0.05136252898394349,0.020561406772061506,25,12,False,False
cosine_rigid_uniform_k11,0.5997217261580097,0.6257278227408662,0.026006096582856585,0.08031627078220525,0.011358435941942462,0.022825631601446295,0.0031804649814102907,0.04883172818430288,0.01055951208485535,22,13,False,False
euclidean_fuzzy_confidence_uniform_k3,0.5523608482499787,0.5781279609055487,0.02576711265557005,0.07489863222580023,0.010592266149692125,0.021285955759503566,0.004481156896066485,0.04705306841507362,0.014010462074442485,24,11,False,False
cosine_fuzzy_confidence_inverse_distance_k1,0.5668075784761745,0.5904809512610899,0.023673372784915405,0.09495543632469117,0.013428726587143308,0.026986036415702234,-0.0033126636307868294,0.050659409200617636,0.09637128871342503,24,11,False,False
cosine_rigid_uniform_k1,0.5668075784761745,0.5904809512610899,0.023673372784915405,0.09495543632469117,0.013428726587143308,0.026986036415702234,-0.0033126636307868294,0.050659409200617636,0.09637128871342503,24,11,False,False
cosine_rigid_inverse_distance_k1,0.5668075784761745,0.5904809512610899,0.023673372784915405,0.09495543632469117,0.013428726587143308,0.026986036415702234,-0.0033126636307868294,0.050659409200617636,0.09637128871342503,24,11,False,False
cosine_fuzzy_confidence_uniform_k1,0.5668075784761745,0.5904809512610899,0.023673372784915405,0.09495543632469117,0.013428726587143308,0.026986036415702234,-0.0033126636307868294,0.050659409200617636,0.09637128871342503,24,11,False,False
minkowski_p3_rigid_uniform_k11,0.6045354486093616,0.6275068492180957,0.02297140060873402,0.07608326556333586,0.010759798602930344,0.021622624828946602,0.0013487757797874186,0.04459402543768062,0.015847987275805983,23,10,False,False
cosine_fuzzy_confidence_uniform_k21,0.5279467518330421,0.5500746582190387,0.022127906385996533,0.10360005952507652,0.014651260924302316,0.029442811146197186,-0.007314904760200653,0.05157071753219372,0.07046010138741314,27,17,False,False
cosine_fuzzy_confidence_inverse_distance_k3,0.5520513938039445,0.5730299638202989,0.020978570016354375,0.08563607199986462,0.012110769445056738,0.02433750237936744,-0.003358932363013066,0.045316072395721815,0.04238190740666464,27,13,False,False
