variable,n_missing,missing_rate,is_essential,retained
cli_age,0,0.0,True,True
cli_psa,0,0.0,True,True
cli_psap,0,0.0,False,True
cli_psav,0,0.0,False,True
cli_psad,0,0.0,True,True
cli_vol,0,0.0,True,True
cli_months,0,0.0,False,True
cli_pirads,0,0.0,True,True
cli_cspca,0,0.0,True,True
cli_comorbidity_count,0,0.0,True,True
cli_allergies_count,0,0.0,False,True
cli_ipss_score,0,0.0,False,True
vit_weight_kg,0,0.0,False,True
vit_height_cm,0,0.0,False,True
vit_bmi,0,0.0,False,True
vit_bp_systolic,0,0.0,False,True
vit_bp_diastolic,0,0.0,False,True
vit_heart_rate_bpm,0,0.0,False,True
vit_smoking_pack_years,25,0.2840909090909091,False,True
path_hist_bx_isup,23,0.26136363636363635,False,True
path_hist_bx_gl_prim,23,0.26136363636363635,False,True
path_hist_bx_gl_sec,23,0.26136363636363635,False,True
path_hist_bx_gl_tert,87,0.9886363636363636,False,False
cli_fh_binary,3,0.03409090909090909,True,True
psa_tr_count,0,0.0,False,True
psa_tr_first_val,0,0.0,False,True
psa_tr_last_val,0,0.0,False,True
psa_tr_min,0,0.0,False,True
psa_tr_max,0,0.0,False,True
psa_tr_mean,0,0.0,False,True
psa_tr_delta,0,0.0,False,True
psa_tr_slope,0,0.0,False,True
lab_creatinine_mg_dl,0,0.0,False,True
lab_hemoglobin_g_dl,65,0.7386363636363636,False,False
lab_free_psa_ng_ml,0,0.0,False,True
lab_free_total_ratio,0,0.0,False,True
cli_bx,0,0.0,True,True
cli_dre,0,0.0,True,True
vit_smoking_status,0,0.0,False,True
