config_id,distance,rule,weight,k,accuracy_mean,balanced_accuracy_mean,sensitivity_mean,specificity_mean,precision_yes_mean,F1_yes_mean,F1_no_mean,Macro_F1_mean,MCC_mean,Brier_mean,ROC_AUC_mean,PR_AUC_mean,accuracy_std,balanced_accuracy_std,sensitivity_std,specificity_std,precision_yes_std,F1_yes_std,F1_no_std,Macro_F1_std,MCC_std,Brier_std,ROC_AUC_std,PR_AUC_std,accuracy_min,balanced_accuracy_min,sensitivity_min,specificity_min,precision_yes_min,F1_yes_min,F1_no_min,Macro_F1_min,MCC_min,Brier_min,ROC_AUC_min,PR_AUC_min,accuracy_max,balanced_accuracy_max,sensitivity_max,specificity_max,precision_yes_max,F1_yes_max,F1_no_max,Macro_F1_max,MCC_max,Brier_max,ROC_AUC_max,PR_AUC_max,accuracy_n_valid,balanced_accuracy_n_valid,sensitivity_n_valid,specificity_n_valid,precision_yes_n_valid,F1_yes_n_valid,F1_no_n_valid,Macro_F1_n_valid,MCC_n_valid,Brier_n_valid,ROC_AUC_n_valid,PR_AUC_n_valid,elapsed_sec
euclidean_rigid_uniform_k1,euclidean,rigid,uniform,1,0.6344444444444445,0.6079220779220779,0.7272727272727273,0.48857142857142855,0.6963195693195695,0.7033583982760184,0.5004462400344752,0.6019023191552468,0.2284565273416219,0.3655555555555556,0.6079220779220779,0.6756125389761753,0.09854701535472171,0.10144784700881125,0.14577885922495876,0.18500650055555726,0.08351229843020729,0.09358869570551961,0.14678843783584383,0.10622025518043708,0.2157178512814967,0.09854701535472174,0.10144784700881126,0.060762787021970764,0.4444444444444444,0.38961038961038963,0.36363636363636365,0.14285714285714285,0.5384615384615384,0.5,0.16666666666666666,0.375,-0.24029618753167464,0.16666666666666666,0.38961038961038963,0.5648795648795649,0.8333333333333334,0.7922077922077921,1.0,0.8571428571428571,0.8888888888888888,0.88,0.75,0.8036363636363637,0.6700593942604899,0.5555555555555556,0.7922077922077922,0.813131313131313,50,50,50,50,50,50,50,50,50,50,50,50,6.242816925048828
euclidean_rigid_uniform_k3,euclidean,rigid,uniform,3,0.6055555555555555,0.5853246753246754,0.6763636363636364,0.4942857142857142,0.6798165723165723,0.6710203117841561,0.4856797548856372,0.5783500333348967,0.17653293577848284,0.24716049382716046,0.682207792207792,0.7836682071641965,0.09474076497074065,0.09481054993607435,0.14596385785171034,0.16880894469314464,0.08074528784918414,0.09700284366630539,0.1310317186346065,0.0981530117365008,0.19542473945512315,0.0648248321573023,0.11800715519217496,0.07632286699130827,0.4444444444444444,0.38961038961038963,0.36363636363636365,0.14285714285714285,0.5384615384615384,0.4444444444444444,0.16666666666666666,0.375,-0.24029618753167464,0.1419753086419753,0.42207792207792205,0.5919011544011544,0.7777777777777778,0.7662337662337663,0.9090909090909091,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.7142857142857143,0.7662337662337663,0.5324675324675324,0.4012345679012346,0.8831168831168831,0.9037433155080214,50,50,50,50,50,50,50,50,50,50,50,50,6.200915813446045
euclidean_rigid_uniform_k5,euclidean,rigid,uniform,5,0.6244444444444445,0.6049350649350649,0.6927272727272725,0.5171428571428571,0.6978425528719647,0.6863437510496064,0.5065256226401736,0.59643468684489,0.22101703449743687,0.23413333333333333,0.6868831168831168,0.7981674012262248,0.09820767173497155,0.09988755247508689,0.15463819110018193,0.18901529173091158,0.0915552402751584,0.1007318564814955,0.13598540588293412,0.10124324564678007,0.20263068626937067,0.05772151455592955,0.1170397542772901,0.07432588780383872,0.3333333333333333,0.2987012987012987,0.2727272727272727,0.14285714285714285,0.45454545454545453,0.35294117647058826,0.14285714285714285,0.2987012987012987,-0.4025974025974026,0.15111111111111108,0.40909090909090906,0.617985282691165,0.7777777777777778,0.7922077922077921,1.0,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.75,0.775,0.5698028822981898,0.40222222222222226,0.8896103896103897,0.9386724386724387,50,50,50,50,50,50,50,50,50,50,50,50,4.832948207855225
euclidean_rigid_uniform_k7,euclidean,rigid,uniform,7,0.6122222222222223,0.5861038961038961,0.7036363636363635,0.46857142857142847,0.6784660617160617,0.6835856213453468,0.4745310669722434,0.5790583441587951,0.18383067132452635,0.22931972789115643,0.6824675324675326,0.7917800771717883,0.09751898342886757,0.09831107384860847,0.15012223051608864,0.1780078570396451,0.08188590189336746,0.09493964110050275,0.140564768364165,0.10165322616693988,0.2071960382349031,0.05201911756199805,0.11482753823252925,0.07316495615192548,0.3888888888888889,0.3441558441558441,0.36363636363636365,0.14285714285714285,0.5,0.4444444444444444,0.15384615384615385,0.3377926421404682,-0.3223291856101521,0.15759637188208617,0.4025974025974026,0.6171483745013158,0.7777777777777778,0.7467532467532467,1.0,0.8571428571428571,0.875,0.8333333333333334,0.7058823529411765,0.75,0.5229975846277625,0.4013605442176871,0.8701298701298702,0.9125874125874127,50,50,50,50,50,50,50,50,50,50,50,50,5.558870792388916
euclidean_rigid_uniform_k9,euclidean,rigid,uniform,9,0.6588888888888889,0.627922077922078,0.7672727272727272,0.4885714285714285,0.7048279498279498,0.7278376837888082,0.5178503718503717,0.6228440278195901,0.273455778837235,0.2219067215363512,0.7,0.7943951354646542,0.09049707361333556,0.09025597430969612,0.1424551605278139,0.16349473675403864,0.06735047820719002,0.09218812286455483,0.1417361314597178,0.10038758198814027,0.18997296768171987,0.04947346198475979,0.11396812726809148,0.07090028597140556,0.3888888888888889,0.3701298701298701,0.2727272727272727,0.0,0.5,0.4,0.0,0.37142857142857144,-0.2548235957188128,0.15569272976680384,0.39610389610389607,0.665308547661489,0.8333333333333334,0.7857142857142857,1.0,0.8571428571428571,0.8181818181818182,0.88,0.7272727272727273,0.8036363636363637,0.6700593942604899,0.41769547325102885,0.9025974025974025,0.9419404125286479,50,50,50,50,50,50,50,50,50,50,50,50,5.952497243881226
euclidean_rigid_uniform_k11,euclidean,rigid,uniform,11,0.66,0.6241558441558441,0.7854545454545455,0.4628571428571428,0.7023999888999889,0.7333754296771262,0.4988272544449015,0.616101342061014,0.27018372254254824,0.22230486685032136,0.6935064935064936,0.788864575264308,0.10447290585336085,0.10962410557027473,0.15006604494186276,0.20318168921883498,0.08663306450960012,0.10028143156313865,0.1719109676321141,0.11911419354912152,0.228915788483448,0.04500484375521256,0.12030792457791077,0.07332486223389523,0.3888888888888889,0.3701298701298701,0.2727272727272727,0.0,0.5,0.4,0.0,0.37142857142857144,-0.2548235957188128,0.15518824609733697,0.33766233766233766,0.5856729055258467,0.9444444444444444,0.9545454545454546,1.0,1.0,1.0,0.9523809523809523,0.9333333333333333,0.9428571428571428,0.8918825850158447,0.3810835629017447,0.9545454545454546,0.9646464646464648,50,50,50,50,50,50,50,50,50,50,50,50,6.555502653121948
euclidean_rigid_uniform_k15,euclidean,rigid,uniform,15,0.6255555555555556,0.5715584415584415,0.8145454545454546,0.3285714285714285,0.6571440128498951,0.7203095344861933,0.3936646947823418,0.5569871146342676,0.17994429983999782,0.21212345679012345,0.7257142857142856,0.8265111434910899,0.09642775491195227,0.09371948016983372,0.15687967657705454,0.16642353500306215,0.062490064044336074,0.09483987319187775,0.15767776388847995,0.10618851684515496,0.22522046356939843,0.032026480230033294,0.11259746220870272,0.06406091487990018,0.3888888888888889,0.3701298701298701,0.2727272727272727,0.0,0.5,0.4,0.0,0.35714285714285715,-0.2548235957188128,0.15012345679012346,0.461038961038961,0.6654956154956155,0.8333333333333334,0.7857142857142857,1.0,0.8571428571428571,0.7857142857142857,0.88,0.7272727272727273,0.8036363636363637,0.6700593942604899,0.3046913580246914,0.948051948051948,0.9540731995277449,50,50,50,50,50,50,50,50,50,50,50,50,6.607274055480957
euclidean_rigid_uniform_k21,euclidean,rigid,uniform,21,0.6355555555555555,0.5724675324675325,0.8563636363636364,0.2885714285714286,0.6531564138475904,0.7341433902706765,0.35967948717948717,0.546911438725082,0.19127746956978342,0.2127261274880322,0.7149350649350649,0.8082711566508358,0.08705593143366405,0.0809483887021796,0.16640616060835275,0.16702308135191937,0.04905184609616519,0.09581471337730489,0.1772996531302949,0.10675303190926119,0.21965014529305774,0.022951195901791205,0.10563129919052888,0.0710748466619741,0.4444444444444444,0.44155844155844154,0.2727272727272727,0.0,0.5555555555555556,0.375,0.0,0.35714285714285715,-0.19347649748797374,0.17132779037540943,0.5,0.6858585858585858,0.8333333333333334,0.7857142857142857,1.0,0.7142857142857143,0.7857142857142857,0.88,0.7272727272727273,0.8036363636363637,0.6700593942604899,0.2729906777525825,0.961038961038961,0.9674931129476584,50,50,50,50,50,50,50,50,50,50,50,50,6.1864378452301025
euclidean_rigid_inverse_distance_k1,euclidean,rigid,inverse_distance,1,0.6344444444444445,0.6079220779220779,0.7272727272727273,0.48857142857142855,0.6963195693195695,0.7033583982760184,0.5004462400344752,0.6019023191552468,0.2284565273416219,0.3655555555555556,0.6079220779220779,0.6756125389761753,0.09854701535472171,0.10144784700881125,0.14577885922495876,0.18500650055555726,0.08351229843020729,0.09358869570551961,0.14678843783584383,0.10622025518043708,0.2157178512814967,0.09854701535472174,0.10144784700881126,0.060762787021970764,0.4444444444444444,0.38961038961038963,0.36363636363636365,0.14285714285714285,0.5384615384615384,0.5,0.16666666666666666,0.375,-0.24029618753167464,0.16666666666666666,0.38961038961038963,0.5648795648795649,0.8333333333333334,0.7922077922077921,1.0,0.8571428571428571,0.8888888888888888,0.88,0.75,0.8036363636363637,0.6700593942604899,0.5555555555555556,0.7922077922077922,0.813131313131313,50,50,50,50,50,50,50,50,50,50,50,50,5.230261325836182
euclidean_rigid_inverse_distance_k3,euclidean,rigid,inverse_distance,3,0.5977777777777777,0.5753246753246753,0.6763636363636364,0.47428571428571414,0.6693066378066379,0.6664360504314737,0.47107280301397947,0.5687544267227266,0.15663591516874067,0.24887214542644553,0.6957142857142858,0.8208854161287316,0.09087908068761674,0.08873435282796377,0.14596385785171034,0.1565985803530684,0.07016076322413016,0.09556779409770194,0.1247901255281447,0.09321163607823671,0.1834074334650841,0.06447546239298206,0.12219579435544108,0.07864815484792269,0.4444444444444444,0.38961038961038963,0.36363636363636365,0.14285714285714285,0.5384615384615384,0.4444444444444444,0.16666666666666666,0.375,-0.24029618753167464,0.13852108061292812,0.36363636363636365,0.5889430014430014,0.7777777777777778,0.7662337662337663,0.9090909090909091,0.7142857142857143,0.8181818181818182,0.8333333333333334,0.7142857142857143,0.7662337662337663,0.5324675324675324,0.38912805002225226,0.935064935064935,0.9715909090909091,50,50,50,50,50,50,50,50,50,50,50,50,6.240504503250122
