n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
1,uniform,euclidean,0.6116587736585515,0.6444444444444444,0.7436363636363638,0.4885714285714285
1,uniform,manhattan,0.5993312056479239,0.6377777777777779,0.7518181818181822,0.45857142857142863
1,uniform,cosine,0.5674533391760171,0.6083333333333334,0.730909090909091,0.41571428571428576
1,distance,euclidean,0.6116587736585515,0.6444444444444444,0.7436363636363638,0.4885714285714285
1,distance,manhattan,0.5993312056479239,0.6377777777777779,0.7518181818181822,0.45857142857142863
1,distance,cosine,0.5674533391760171,0.6083333333333334,0.730909090909091,0.41571428571428576
3,uniform,euclidean,0.6217549252014021,0.6716666666666667,0.8245454545454546,0.43142857142857144
3,uniform,manhattan,0.6180629808333706,0.6650000000000001,0.8100000000000002,0.43714285714285717
3,uniform,cosine,0.5938974345214991,0.6472222222222223,0.8027272727272728,0.40285714285714286
3,distance,euclidean,0.6146144374871525,0.6616666666666668,0.8063636363636364,0.43428571428571433
3,distance,manhattan,0.6010909384674394,0.6527777777777779,0.8100000000000002,0.40571428571428575
3,distance,cosine,0.589008076902383,0.6350000000000001,0.7745454545454546,0.41571428571428576
5,uniform,euclidean,0.607520984657117,0.663888888888889,0.8290909090909091,0.40428571428571425
5,uniform,manhattan,0.595347623887579,0.6605555555555556,0.8472727272727273,0.3671428571428571
5,uniform,cosine,0.6007729667848865,0.653888888888889,0.8081818181818181,0.41142857142857153
5,distance,euclidean,0.6003592402723982,0.6561111111111111,0.8218181818181819,0.3957142857142857
5,distance,manhattan,0.6033083587175053,0.658888888888889,0.8236363636363637,0.4000000000000001
5,distance,cosine,0.5671137736725467,0.6205555555555555,0.7781818181818183,0.3728571428571428
7,uniform,euclidean,0.5761348263389118,0.6416666666666667,0.8290909090909091,0.3471428571428571
7,uniform,manhattan,0.5845790480190031,0.6527777777777779,0.8463636363636362,0.34857142857142853
7,uniform,cosine,0.5712633360372122,0.6416666666666667,0.84,0.33
7,distance,euclidean,0.5747679588152633,0.6377777777777778,0.8172727272727272,0.3557142857142857
7,distance,manhattan,0.5837393366697714,0.643888888888889,0.8181818181818182,0.37
7,distance,cosine,0.5651704304761311,0.6233333333333334,0.7909090909090912,0.36
9,uniform,euclidean,0.5518558979140689,0.6377777777777779,0.8627272727272726,0.28428571428571414
9,uniform,manhattan,0.5579603684296712,0.6411111111111112,0.8599999999999999,0.29714285714285704
9,uniform,cosine,0.549995490408309,0.6400000000000001,0.8690909090909089,0.2799999999999999
9,distance,euclidean,0.5587224568270304,0.6316666666666668,0.8290909090909092,0.32142857142857134
9,distance,manhattan,0.5695703921820863,0.6394444444444445,0.8345454545454547,0.33285714285714285
9,distance,cosine,0.5666242307384016,0.6283333333333334,0.8045454545454547,0.35142857142857137
11,uniform,euclidean,0.5413317010575631,0.6416666666666667,0.8909090909090907,0.24999999999999992
11,uniform,manhattan,0.5463770472960878,0.638888888888889,0.8772727272727271,0.2642857142857142
11,uniform,cosine,0.5270721478088793,0.6288888888888889,0.8745454545454544,0.2428571428571428
11,distance,euclidean,0.5425645444482775,0.6261111111111112,0.8445454545454544,0.28285714285714275
11,distance,manhattan,0.5524361128820648,0.6327777777777779,0.8481818181818181,0.2942857142857142
11,distance,cosine,0.5633394672732033,0.6283333333333334,0.8118181818181819,0.3399999999999999
13,uniform,euclidean,0.5086449626113794,0.6283333333333334,0.9036363636363635,0.19571428571428565
13,uniform,manhattan,0.5438922160132055,0.6505555555555557,0.9127272727272725,0.23857142857142852
13,uniform,cosine,0.4926264624477154,0.6188888888888889,0.897272727272727,0.18142857142857138
13,distance,euclidean,0.5315832045848538,0.6222222222222222,0.8545454545454544,0.25714285714285706
13,distance,manhattan,0.5466041754153447,0.6338888888888891,0.8618181818181817,0.27571428571428563
13,distance,cosine,0.5578319800198756,0.6266666666666667,0.8181818181818185,0.3257142857142856
15,uniform,euclidean,0.5043316723478642,0.6372222222222224,0.9309090909090908,0.17571428571428568
15,uniform,manhattan,0.5131873821358828,0.6444444444444446,0.9409090909090909,0.1785714285714285
15,uniform,cosine,0.477791066537993,0.613888888888889,0.9063636363636361,0.15428571428571428
15,distance,euclidean,0.5287406460439443,0.6227777777777779,0.8609090909090908,0.24857142857142847
15,distance,manhattan,0.5336905615873382,0.6311111111111112,0.8772727272727271,0.24428571428571424
15,distance,cosine,0.5534761483171161,0.6250000000000001,0.8218181818181819,0.3157142857142856
17,uniform,euclidean,0.48564691866798304,0.623888888888889,0.9263636363636364,0.14857142857142855
17,uniform,manhattan,0.4749818900767177,0.6333333333333335,0.9590909090909091,0.12142857142857139
17,uniform,cosine,0.46288528963956244,0.6033333333333334,0.9,0.13714285714285712
17,distance,euclidean,0.5193296996107342,0.6188888888888889,0.8663636363636362,0.22999999999999995
17,distance,manhattan,0.520995839911657,0.6283333333333334,0.8890909090909089,0.2185714285714285
17,distance,cosine,0.5504486133721899,0.6222222222222222,0.820909090909091,0.3099999999999999
21,uniform,euclidean,0.4513037628399698,0.6244444444444445,0.9645454545454545,0.08999999999999997
21,uniform,manhattan,0.43819106213071735,0.6300000000000001,0.9881818181818182,0.06714285714285714
21,uniform,cosine,0.4685090095090094,0.6272222222222222,0.9509090909090908,0.11857142857142856
21,distance,euclidean,0.5063044611893188,0.6166666666666667,0.8818181818181818,0.19999999999999993
21,distance,manhattan,0.5001781258388455,0.63,0.9227272727272725,0.16999999999999996
21,distance,cosine,0.5507205493267345,0.6233333333333334,0.8245454545454547,0.30714285714285705
25,uniform,euclidean,0.4284048636548638,0.6255555555555556,0.9881818181818182,0.05571428571428571
25,uniform,manhattan,0.4166187739463602,0.625,0.9972727272727272,0.039999999999999994
25,uniform,cosine,0.45387654522999354,0.6366666666666668,0.9863636363636364,0.08714285714285713
25,distance,euclidean,0.4771469550245412,0.6155555555555557,0.9145454545454544,0.14571428571428569
25,distance,manhattan,0.4637227410520513,0.6183333333333334,0.9354545454545453,0.11999999999999998
25,distance,cosine,0.5474181212507299,0.6222222222222222,0.8300000000000002,0.2957142857142856
