variable,frequency,pct
cli_age,50,1.0
cli_psa,50,1.0
cli_psap,50,1.0
cli_psav,50,1.0
cli_psad,50,1.0
cli_vol,50,1.0
cli_months,50,1.0
cli_pirads,50,1.0
cli_dre,50,1.0
cli_bx,50,1.0
cli_cspca,50,1.0
cli_comorbidity_count,50,1.0
cli_allergies_count,50,1.0
cli_ipss_score,50,1.0
cli_fh_binary,50,1.0
vit_weight_kg,50,1.0
vit_height_cm,50,1.0
vit_bmi,50,1.0
vit_bp_systolic,50,1.0
vit_bp_diastolic,50,1.0
vit_heart_rate_bpm,50,1.0
vit_smoking_status,50,1.0
vit_smoking_pack_years,50,1.0
path_hist_bx_isup,50,1.0
path_hist_bx_gl_prim,50,1.0
path_hist_bx_gl_sec,50,1.0
path_hist_bx_gl_tert,50,1.0
