representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
raw,1,uniform,euclidean,0.497320432991277,0.5305555555555557,0.6272727272727273,0.3785714285714286
raw,1,uniform,cosine,0.530345099362531,0.5733333333333335,0.701818181818182,0.3714285714285714
raw,1,distance,euclidean,0.497320432991277,0.5305555555555557,0.6272727272727273,0.3785714285714286
raw,1,distance,cosine,0.530345099362531,0.5733333333333335,0.701818181818182,0.3714285714285714
raw,3,uniform,euclidean,0.45650499040514186,0.508888888888889,0.6572727272727273,0.27571428571428563
raw,3,uniform,cosine,0.48800560373603846,0.5538888888888889,0.7327272727272729,0.2728571428571428
raw,3,distance,euclidean,0.45650499040514186,0.508888888888889,0.6572727272727273,0.27571428571428563
raw,3,distance,cosine,0.4879761266913441,0.5533333333333333,0.7309090909090911,0.2742857142857142
raw,5,uniform,euclidean,0.4744943198508417,0.5399999999999999,0.7136363636363637,0.26714285714285707
raw,5,uniform,cosine,0.5013389492950975,0.5555555555555555,0.7036363636363636,0.32285714285714284
raw,5,distance,euclidean,0.4716133291024595,0.5361111111111111,0.7072727272727272,0.26714285714285707
raw,5,distance,cosine,0.5071078723054763,0.5616666666666668,0.71,0.3285714285714286
raw,7,uniform,euclidean,0.48590813767552904,0.5594444444444444,0.7536363636363635,0.2542857142857142
raw,7,uniform,cosine,0.48725009354574583,0.5561111111111111,0.7409090909090911,0.2657142857142857
raw,7,distance,euclidean,0.4808556858600337,0.5522222222222222,0.741818181818182,0.2542857142857142
raw,7,distance,cosine,0.4862360751969448,0.5527777777777778,0.7336363636363639,0.2685714285714285
raw,9,uniform,euclidean,0.46655414570714426,0.5472222222222222,0.7536363636363638,0.2228571428571428
raw,9,uniform,cosine,0.4658974973496713,0.5422222222222223,0.7418181818181818,0.2285714285714285
raw,9,distance,euclidean,0.4606324543550182,0.5388888888888889,0.74,0.2228571428571428
raw,9,distance,cosine,0.4765997967411011,0.5516666666666667,0.7490909090909089,0.24142857142857135
raw,11,uniform,euclidean,0.4659837682836574,0.5583333333333335,0.7845454545454548,0.20285714285714282
raw,11,uniform,cosine,0.4568504995545851,0.555,0.7909090909090908,0.18428571428571425
raw,11,distance,euclidean,0.4602220769154443,0.55,0.7709090909090911,0.20285714285714282
raw,11,distance,cosine,0.45858957572218445,0.5505555555555557,0.7763636363636363,0.19571428571428562
raw,15,uniform,euclidean,0.4092954061805262,0.5333333333333333,0.8,0.11428571428571431
raw,15,uniform,cosine,0.4138117163765214,0.5566666666666666,0.8490909090909092,0.09714285714285716
raw,15,distance,euclidean,0.4024725605215485,0.5238888888888887,0.7854545454545455,0.11285714285714285
raw,15,distance,cosine,0.4225540908533414,0.5483333333333333,0.8200000000000002,0.12142857142857139
raw,21,uniform,euclidean,0.38766711734875153,0.5633333333333335,0.8900000000000001,0.05
raw,21,uniform,cosine,0.3860135687262375,0.5722222222222223,0.9136363636363636,0.03571428571428571
raw,21,distance,euclidean,0.38600495535338125,0.5616666666666668,0.889090909090909,0.047142857142857146
raw,21,distance,cosine,0.39033995181064157,0.5672222222222223,0.899090909090909,0.04571428571428572
pca,1,uniform,euclidean,0.5367422892225457,0.5594444444444445,0.6172727272727272,0.46857142857142847
pca,1,uniform,cosine,0.49566811859488547,0.5288888888888889,0.6209090909090909,0.3842857142857143
pca,1,distance,euclidean,0.5367422892225457,0.5594444444444445,0.6172727272727272,0.46857142857142847
pca,1,distance,cosine,0.49566811859488547,0.5288888888888889,0.6209090909090909,0.3842857142857143
pca,3,uniform,euclidean,0.4994690024054406,0.5355555555555557,0.6372727272727272,0.37571428571428567
pca,3,uniform,cosine,0.5253423606393656,0.5666666666666668,0.6872727272727274,0.37714285714285717
pca,3,distance,euclidean,0.49901807235143814,0.5361111111111111,0.6372727272727272,0.37714285714285717
pca,3,distance,cosine,0.5146139166192438,0.5516666666666665,0.6554545454545456,0.3885714285714286
pca,5,uniform,euclidean,0.49612835694863555,0.543888888888889,0.6836363636363637,0.32428571428571423
