max_features,representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
100,raw,1,uniform,euclidean,0.43761975450776774,0.48333333333333334,0.6063636363636363,0.29
100,raw,1,uniform,cosine,0.43761975450776774,0.48333333333333334,0.6063636363636363,0.29
100,raw,1,distance,euclidean,0.43761975450776774,0.48333333333333334,0.6063636363636363,0.29
100,raw,1,distance,cosine,0.43761975450776774,0.48333333333333334,0.6063636363636363,0.29
100,raw,3,uniform,euclidean,0.4521308343973272,0.52,0.6945454545454547,0.2457142857142857
100,raw,3,uniform,cosine,0.4521308343973272,0.52,0.6945454545454547,0.2457142857142857
100,raw,3,distance,euclidean,0.4521308343973272,0.52,0.6945454545454547,0.2457142857142857
100,raw,3,distance,cosine,0.4521308343973272,0.52,0.6945454545454547,0.2457142857142857
100,raw,5,uniform,euclidean,0.47438372686090075,0.5477777777777778,0.7427272727272728,0.24142857142857135
100,raw,5,uniform,cosine,0.47438372686090075,0.5477777777777778,0.7427272727272728,0.24142857142857135
100,raw,5,distance,euclidean,0.47438372686090075,0.5477777777777778,0.7427272727272728,0.24142857142857135
100,raw,5,distance,cosine,0.47438372686090075,0.5477777777777778,0.7427272727272728,0.24142857142857135
100,raw,7,uniform,euclidean,0.48641276848533216,0.5783333333333335,0.8072727272727275,0.2185714285714285
100,raw,7,uniform,cosine,0.48641276848533216,0.5783333333333335,0.8072727272727275,0.2185714285714285
100,raw,7,distance,euclidean,0.48641276848533216,0.5783333333333335,0.8072727272727275,0.2185714285714285
100,raw,7,distance,cosine,0.48641276848533216,0.5783333333333335,0.8072727272727275,0.2185714285714285
100,raw,9,uniform,euclidean,0.49423066537826665,0.59,0.8236363636363636,0.2228571428571428
100,raw,9,uniform,cosine,0.49423066537826665,0.59,0.8236363636363636,0.2228571428571428
100,raw,9,distance,euclidean,0.49423066537826665,0.59,0.8236363636363636,0.2228571428571428
100,raw,9,distance,cosine,0.49423066537826665,0.59,0.8236363636363636,0.2228571428571428
100,raw,11,uniform,euclidean,0.4933818160267186,0.5977777777777779,0.8454545454545455,0.20857142857142855
100,raw,11,uniform,cosine,0.4933818160267186,0.5977777777777779,0.8454545454545455,0.20857142857142855
100,raw,11,distance,euclidean,0.4933818160267186,0.5977777777777779,0.8454545454545455,0.20857142857142855
100,raw,11,distance,cosine,0.4933818160267186,0.5977777777777779,0.8454545454545455,0.20857142857142855
100,raw,15,uniform,euclidean,0.5155251482844436,0.6227777777777779,0.8836363636363636,0.2128571428571428
100,raw,15,uniform,cosine,0.5155251482844436,0.6227777777777779,0.8836363636363636,0.2128571428571428
100,raw,15,distance,euclidean,0.5155251482844436,0.6227777777777779,0.8836363636363636,0.2128571428571428
100,raw,15,distance,cosine,0.5155251482844436,0.6227777777777779,0.8836363636363636,0.2128571428571428
100,raw,21,uniform,euclidean,0.5012453337350639,0.625,0.9090909090909091,0.17857142857142858
100,raw,21,uniform,cosine,0.5012453337350639,0.625,0.9090909090909091,0.17857142857142858
100,raw,21,distance,euclidean,0.5012453337350639,0.625,0.9090909090909091,0.17857142857142858
100,raw,21,distance,cosine,0.49961024659997677,0.6244444444444445,0.91,0.17571428571428574
100,pca,1,uniform,euclidean,0.46284243519513746,0.5083333333333333,0.6363636363636364,0.30714285714285705
100,pca,1,uniform,cosine,0.46436363670198316,0.5122222222222222,0.6427272727272728,0.30714285714285705
100,pca,1,distance,euclidean,0.46284243519513746,0.5083333333333333,0.6363636363636364,0.30714285714285705
100,pca,1,distance,cosine,0.46436363670198316,0.5122222222222222,0.6427272727272728,0.30714285714285705
100,pca,3,uniform,euclidean,0.4743662257227475,0.5405555555555556,0.7154545454545456,0.2657142857142857
100,pca,3,uniform,cosine,0.5014341848167936,0.57,0.7572727272727274,0.27571428571428563
100,pca,3,distance,euclidean,0.4743662257227475,0.5405555555555556,0.7154545454545456,0.2657142857142857
100,pca,3,distance,cosine,0.5014341848167936,0.57,0.7572727272727274,0.27571428571428563
100,pca,5,uniform,euclidean,0.4874621057160061,0.5588888888888889,0.7472727272727272,0.26285714285714284
100,pca,5,uniform,cosine,0.5157936154425284,0.5938888888888889,0.8018181818181819,0.26714285714285707
100,pca,5,distance,euclidean,0.4874621057160061,0.5588888888888889,0.7472727272727272,0.26285714285714284
100,pca,5,distance,cosine,0.5162117972607103,0.5944444444444444,0.8027272727272726,0.26714285714285707
100,pca,7,uniform,euclidean,0.5091768117050359,0.5888888888888889,0.7945454545454546,0.2657142857142857
100,pca,7,uniform,cosine,0.5013634797846942,0.5855555555555556,0.8036363636363637,0.2428571428571428
100,pca,7,distance,euclidean,0.5091768117050359,0.5888888888888889,0.7945454545454546,0.2657142857142857
100,pca,7,distance,cosine,0.49998604562465127,0.585,0.8045454545454547,0.23999999999999996
100,pca,9,uniform,euclidean,0.5071760320611145,0.5961111111111111,0.8190909090909089,0.24571428571428566
100,pca,9,uniform,cosine,0.506735613528567,0.5966666666666667,0.8272727272727274,0.23428571428571424
100,pca,9,distance,euclidean,0.5071760320611145,0.5961111111111111,0.8190909090909089,0.24571428571428566
100,pca,9,distance,cosine,0.5055155074671567,0.5966666666666667,0.8290909090909092,0.2314285714285714
100,pca,11,uniform,euclidean,0.5205077749836371,0.6116666666666667,0.8390909090909089,0.2542857142857142
100,pca,11,uniform,cosine,0.5017488324213961,0.5961111111111113,0.8336363636363636,0.22285714285714278
100,pca,11,distance,euclidean,0.5205077749836371,0.6116666666666667,0.8390909090909089,0.2542857142857142
100,pca,11,distance,cosine,0.5009215731267456,0.5966666666666669,0.8363636363636363,0.21999999999999992
100,pca,15,uniform,euclidean,0.5005315951109803,0.6116666666666668,0.8763636363636362,0.19571428571428565
100,pca,15,uniform,cosine,0.4965016793356007,0.6066666666666668,0.8672727272727272,0.19714285714285712
100,pca,15,distance,euclidean,0.5005315951109803,0.6116666666666668,0.8763636363636362,0.19571428571428565
100,pca,15,distance,cosine,0.4959007764681311,0.6083333333333334,0.8727272727272728,0.1928571428571428
100,pca,21,uniform,euclidean,0.48146695832902736,0.6194444444444445,0.9190909090909091,0.14857142857142852
100,pca,21,uniform,cosine,0.47906062012838624,0.6044444444444446,0.8836363636363634,0.1657142857142857
100,pca,21,distance,euclidean,0.48146695832902736,0.6194444444444445,0.9190909090909091,0.14857142857142852
100,pca,21,distance,cosine,0.4819646534139413,0.6072222222222222,0.8872727272727272,0.16714285714285712
100,embedkit_unsup,1,uniform,euclidean,0.49609795623641695,0.5377777777777777,0.6563636363636364,0.3514285714285715
100,embedkit_unsup,1,uniform,cosine,0.49609795623641695,0.5377777777777777,0.6563636363636364,0.3514285714285715
100,embedkit_unsup,1,distance,euclidean,0.49609795623641695,0.5377777777777777,0.6563636363636364,0.3514285714285715
