n_epochs,lr,sigma_mult,optimizer,weight_decay,macro_f1_mean,macro_f1_std
300,0.003,0.5,adam,0.0,0.619,0.0009
300,0.003,0.5,adamw,0.0,0.619,0.0009
300,0.003,0.5,adamw,0.0001,0.619,0.0009
300,0.003,0.5,adamw,0.001,0.619,0.0009
300,0.01,1.0,adam,0.0,0.619,0.0009
300,0.01,1.0,adamw,0.0,0.619,0.0009
300,0.01,1.0,adamw,0.0001,0.619,0.0009
300,0.01,1.0,adamw,0.001,0.619,0.0009
150,0.01,0.5,adam,0.0,0.6146,0.0133
150,0.01,0.5,adamw,0.0,0.6146,0.0133
150,0.01,0.5,adamw,0.0001,0.6146,0.0133
150,0.01,0.5,adamw,0.001,0.6146,0.0133
600,0.003,0.5,adam,0.0,0.6126,0.0074
600,0.003,0.5,adamw,0.0,0.6126,0.0074
600,0.003,0.5,adamw,0.0001,0.6126,0.0074
600,0.003,0.5,adamw,0.001,0.6126,0.0074
150,0.03,2.0,adamw,0.001,0.6086,0.0
150,0.03,2.0,adamw,0.0001,0.6085,0.0125
150,0.03,1.5,adam,0.0,0.6074,0.0074
150,0.03,1.5,adamw,0.0,0.6074,0.0074
150,0.03,1.5,adamw,0.0001,0.6074,0.0074
150,0.03,1.5,adamw,0.001,0.6074,0.0074
600,0.003,1.0,adam,0.0,0.6064,0.0196
600,0.003,1.0,adamw,0.0,0.6064,0.0196
600,0.003,1.0,adamw,0.0001,0.6064,0.0196
600,0.003,1.0,adamw,0.001,0.6064,0.0196
150,0.003,0.5,adam,0.0,0.6061,0.0048
150,0.003,0.5,adamw,0.0,0.6061,0.0048
150,0.003,0.5,adamw,0.0001,0.6061,0.0048
150,0.003,0.5,adamw,0.001,0.6061,0.0048
300,0.01,1.5,adam,0.0,0.6061,0.0048
300,0.01,1.5,adamw,0.0,0.6061,0.0048
300,0.01,1.5,adamw,0.0001,0.6061,0.0048
300,0.01,1.5,adamw,0.001,0.6061,0.0048
150,0.03,2.0,adam,0.0,0.6054,0.009
150,0.03,2.0,adamw,0.0,0.6054,0.009
150,0.03,1.0,adam,0.0,0.6028,0.0009
150,0.03,1.0,adamw,0.0,0.6028,0.0009
150,0.03,1.0,adamw,0.0001,0.6028,0.0009
150,0.03,1.0,adamw,0.001,0.6028,0.0009
300,0.01,2.0,adam,0.0,0.5982,0.0126
300,0.01,2.0,adamw,0.0,0.5982,0.0126
