dimension,frequency,pct
mri_emb_0,50,1.0
mri_emb_1,50,1.0
mri_emb_2,50,1.0
mri_emb_3,50,1.0
mri_emb_4,50,1.0
mri_emb_5,50,1.0
mri_emb_6,50,1.0
mri_emb_7,50,1.0
mri_emb_8,50,1.0
mri_emb_9,50,1.0
mri_emb_10,50,1.0
mri_emb_11,50,1.0
mri_emb_12,50,1.0
mri_emb_13,50,1.0
mri_emb_14,50,1.0
mri_emb_15,50,1.0
mri_emb_16,50,1.0
mri_emb_17,50,1.0
mri_emb_18,50,1.0
mri_emb_19,50,1.0
mri_emb_20,50,1.0
mri_emb_21,50,1.0
mri_emb_22,50,1.0
mri_emb_23,50,1.0
mri_emb_24,50,1.0
mri_emb_25,50,1.0
mri_emb_26,50,1.0
mri_emb_27,50,1.0
mri_emb_28,50,1.0
mri_emb_29,50,1.0
mri_emb_30,50,1.0
mri_emb_31,50,1.0
mri_emb_32,50,1.0
mri_emb_33,50,1.0
mri_emb_34,50,1.0
mri_emb_35,50,1.0
mri_emb_36,50,1.0
mri_emb_37,50,1.0
mri_emb_38,50,1.0
mri_emb_39,50,1.0
mri_emb_40,50,1.0
mri_emb_41,50,1.0
mri_emb_42,50,1.0
mri_emb_43,50,1.0
mri_emb_44,50,1.0
mri_emb_45,50,1.0
mri_emb_46,50,1.0
mri_emb_47,50,1.0
mri_emb_48,50,1.0
mri_emb_49,50,1.0
mri_emb_50,50,1.0
mri_emb_51,50,1.0
mri_emb_52,50,1.0
mri_emb_53,50,1.0
mri_emb_54,50,1.0
mri_emb_55,50,1.0
mri_emb_56,50,1.0
mri_emb_57,50,1.0
mri_emb_58,50,1.0
mri_emb_59,50,1.0
mri_emb_60,50,1.0
mri_emb_61,50,1.0
mri_emb_62,50,1.0
mri_emb_63,50,1.0
mri_emb_64,50,1.0
mri_emb_65,50,1.0
mri_emb_66,50,1.0
mri_emb_67,50,1.0
mri_emb_68,50,1.0
mri_emb_69,50,1.0
mri_emb_70,50,1.0
mri_emb_71,50,1.0
mri_emb_72,50,1.0
mri_emb_73,50,1.0
mri_emb_74,50,1.0
mri_emb_75,50,1.0
mri_emb_76,50,1.0
mri_emb_77,50,1.0
mri_emb_78,50,1.0
mri_emb_79,50,1.0
mri_emb_80,50,1.0
mri_emb_81,50,1.0
mri_emb_82,50,1.0
mri_emb_83,50,1.0
mri_emb_84,50,1.0
mri_emb_85,50,1.0
mri_emb_86,50,1.0
mri_emb_87,50,1.0
mri_emb_88,50,1.0
mri_emb_89,50,1.0
mri_emb_90,50,1.0
mri_emb_91,50,1.0
mri_emb_92,50,1.0
mri_emb_93,50,1.0
mri_emb_94,50,1.0
mri_emb_95,50,1.0
mri_emb_96,50,1.0
mri_emb_97,50,1.0
mri_emb_98,50,1.0
mri_emb_99,50,1.0
mri_emb_100,50,1.0
mri_emb_101,50,1.0
mri_emb_102,50,1.0
mri_emb_103,50,1.0
mri_emb_104,50,1.0
mri_emb_105,50,1.0
mri_emb_106,50,1.0
mri_emb_107,50,1.0
mri_emb_108,50,1.0
mri_emb_109,50,1.0
mri_emb_110,50,1.0
mri_emb_111,50,1.0
mri_emb_112,50,1.0
mri_emb_113,50,1.0
mri_emb_114,50,1.0
mri_emb_115,50,1.0
mri_emb_116,50,1.0
mri_emb_117,50,1.0
mri_emb_118,50,1.0
mri_emb_119,50,1.0
mri_emb_120,50,1.0
mri_emb_121,50,1.0
mri_emb_122,50,1.0
mri_emb_123,50,1.0
mri_emb_124,50,1.0
mri_emb_125,50,1.0
mri_emb_126,50,1.0
mri_emb_127,50,1.0
mri_emb_128,50,1.0
mri_emb_129,50,1.0
mri_emb_130,50,1.0
mri_emb_131,50,1.0
mri_emb_132,50,1.0
mri_emb_133,50,1.0
mri_emb_134,50,1.0
mri_emb_135,50,1.0
mri_emb_136,50,1.0
mri_emb_137,50,1.0
mri_emb_138,50,1.0
mri_emb_139,50,1.0
mri_emb_140,50,1.0
mri_emb_141,50,1.0
mri_emb_142,50,1.0
mri_emb_143,50,1.0
mri_emb_144,50,1.0
mri_emb_145,50,1.0
mri_emb_146,50,1.0
mri_emb_147,50,1.0
mri_emb_148,50,1.0
mri_emb_149,50,1.0
mri_emb_150,50,1.0
mri_emb_151,50,1.0
mri_emb_152,50,1.0
mri_emb_153,50,1.0
mri_emb_154,50,1.0
mri_emb_155,50,1.0
mri_emb_156,50,1.0
mri_emb_157,50,1.0
mri_emb_158,50,1.0
mri_emb_159,50,1.0
mri_emb_160,50,1.0
mri_emb_161,50,1.0
mri_emb_162,50,1.0
mri_emb_163,50,1.0
mri_emb_164,50,1.0
mri_emb_165,50,1.0
mri_emb_166,50,1.0
mri_emb_167,50,1.0
mri_emb_168,50,1.0
mri_emb_169,50,1.0
mri_emb_170,50,1.0
mri_emb_171,50,1.0
mri_emb_172,50,1.0
mri_emb_173,50,1.0
mri_emb_174,50,1.0
mri_emb_175,50,1.0
mri_emb_176,50,1.0
mri_emb_177,50,1.0
mri_emb_178,50,1.0
mri_emb_179,50,1.0
mri_emb_180,50,1.0
mri_emb_181,50,1.0
mri_emb_182,50,1.0
mri_emb_183,50,1.0
mri_emb_184,50,1.0
mri_emb_185,50,1.0
mri_emb_186,50,1.0
mri_emb_187,50,1.0
mri_emb_188,50,1.0
mri_emb_189,50,1.0
mri_emb_190,50,1.0
mri_emb_191,50,1.0
mri_emb_192,50,1.0
mri_emb_193,50,1.0
mri_emb_194,50,1.0
mri_emb_195,50,1.0
mri_emb_196,50,1.0
mri_emb_197,50,1.0
mri_emb_198,50,1.0
mri_emb_199,50,1.0
mri_emb_200,50,1.0
mri_emb_201,50,1.0
mri_emb_202,50,1.0
mri_emb_203,50,1.0
mri_emb_204,50,1.0
mri_emb_205,50,1.0
mri_emb_206,50,1.0
mri_emb_207,50,1.0
mri_emb_208,50,1.0
mri_emb_209,50,1.0
mri_emb_210,50,1.0
mri_emb_211,50,1.0
mri_emb_212,50,1.0
mri_emb_213,50,1.0
mri_emb_214,50,1.0
mri_emb_215,50,1.0
mri_emb_216,50,1.0
mri_emb_217,50,1.0
mri_emb_218,50,1.0
mri_emb_219,50,1.0
mri_emb_220,50,1.0
mri_emb_221,50,1.0
mri_emb_222,50,1.0
mri_emb_223,50,1.0
mri_emb_224,50,1.0
mri_emb_225,50,1.0
mri_emb_226,50,1.0
mri_emb_227,50,1.0
mri_emb_228,50,1.0
mri_emb_229,50,1.0
mri_emb_230,50,1.0
mri_emb_231,50,1.0
mri_emb_232,50,1.0
mri_emb_233,50,1.0
mri_emb_234,50,1.0
mri_emb_235,50,1.0
mri_emb_236,50,1.0
mri_emb_237,50,1.0
