dimension,frequency,pct
mri_emb_188,40,0.8
mri_emb_295,38,0.76
mri_emb_438,38,0.76
mri_emb_648,38,0.76
mri_emb_134,37,0.74
mri_emb_332,36,0.72
mri_emb_466,35,0.7
mri_emb_263,34,0.68
mri_emb_64,30,0.6
mri_emb_173,29,0.58
mri_emb_443,29,0.58
mri_emb_85,29,0.58
mri_emb_137,27,0.54
mri_emb_517,27,0.54
mri_emb_65,27,0.54
mri_emb_48,27,0.54
mri_emb_184,26,0.52
mri_emb_415,26,0.52
mri_emb_94,25,0.5
mri_emb_114,24,0.48
mri_emb_833,24,0.48
mri_emb_163,23,0.46
mri_emb_521,23,0.46
mri_emb_949,23,0.46
mri_emb_297,23,0.46
mri_emb_144,22,0.44
mri_emb_980,22,0.44
mri_emb_469,20,0.4
mri_emb_691,20,0.4
mri_emb_796,20,0.4
mri_emb_123,20,0.4
mri_emb_850,19,0.38
mri_emb_925,19,0.38
mri_emb_196,19,0.38
mri_emb_261,19,0.38
mri_emb_74,19,0.38
mri_emb_729,18,0.36
mri_emb_36,18,0.36
mri_emb_916,18,0.36
mri_emb_226,17,0.34
mri_emb_398,17,0.34
mri_emb_934,17,0.34
mri_emb_33,17,0.34
mri_emb_591,17,0.34
mri_emb_422,17,0.34
mri_emb_808,17,0.34
mri_emb_158,17,0.34
mri_emb_32,17,0.34
mri_emb_175,17,0.34
mri_emb_251,17,0.34
mri_emb_584,16,0.32
mri_emb_787,16,0.32
mri_emb_535,16,0.32
mri_emb_177,16,0.32
mri_emb_660,16,0.32
mri_emb_645,16,0.32
mri_emb_1001,15,0.3
mri_emb_408,15,0.3
mri_emb_548,15,0.3
mri_emb_105,15,0.3
mri_emb_427,15,0.3
mri_emb_727,15,0.3
mri_emb_520,15,0.3
mri_emb_293,14,0.28
mri_emb_405,14,0.28
mri_emb_483,14,0.28
mri_emb_503,14,0.28
mri_emb_809,14,0.28
mri_emb_102,14,0.28
mri_emb_13,14,0.28
mri_emb_936,14,0.28
mri_emb_387,14,0.28
mri_emb_437,14,0.28
mri_emb_824,14,0.28
mri_emb_403,13,0.26
mri_emb_118,13,0.26
mri_emb_288,13,0.26
mri_emb_968,13,0.26
mri_emb_27,13,0.26
mri_emb_86,13,0.26
mri_emb_844,13,0.26
mri_emb_71,12,0.24
mri_emb_11,12,0.24
mri_emb_383,12,0.24
mri_emb_200,12,0.24
mri_emb_468,12,0.24
mri_emb_721,12,0.24
mri_emb_532,12,0.24
mri_emb_747,12,0.24
mri_emb_81,12,0.24
mri_emb_649,12,0.24
mri_emb_440,11,0.22
mri_emb_630,11,0.22
mri_emb_859,11,0.22
mri_emb_238,11,0.22
mri_emb_489,11,0.22
mri_emb_597,11,0.22
mri_emb_637,11,0.22
mri_emb_108,11,0.22
mri_emb_978,11,0.22
mri_emb_110,11,0.22
mri_emb_150,11,0.22
mri_emb_20,10,0.2
mri_emb_324,10,0.2
mri_emb_4,10,0.2
mri_emb_40,10,0.2
mri_emb_667,10,0.2
mri_emb_146,10,0.2
mri_emb_940,10,0.2
mri_emb_617,10,0.2
mri_emb_377,10,0.2
mri_emb_217,10,0.2
mri_emb_138,10,0.2
mri_emb_713,10,0.2
mri_emb_429,9,0.18
mri_emb_763,9,0.18
mri_emb_927,9,0.18
mri_emb_23,9,0.18
mri_emb_235,9,0.18
mri_emb_448,9,0.18
mri_emb_757,9,0.18
mri_emb_939,9,0.18
mri_emb_356,9,0.18
mri_emb_378,9,0.18
mri_emb_51,9,0.18
mri_emb_640,9,0.18
mri_emb_759,9,0.18
mri_emb_303,9,0.18
mri_emb_417,9,0.18
mri_emb_899,9,0.18
mri_emb_1005,9,0.18
mri_emb_447,9,0.18
mri_emb_830,8,0.16
mri_emb_279,8,0.16
mri_emb_484,8,0.16
mri_emb_952,8,0.16
mri_emb_979,8,0.16
mri_emb_296,8,0.16
mri_emb_315,8,0.16
mri_emb_310,8,0.16
mri_emb_323,8,0.16
mri_emb_353,8,0.16
mri_emb_530,8,0.16
mri_emb_958,8,0.16
mri_emb_58,8,0.16
mri_emb_343,8,0.16
mri_emb_139,8,0.16
mri_emb_523,8,0.16
mri_emb_109,7,0.14
mri_emb_393,7,0.14
mri_emb_125,7,0.14
mri_emb_635,7,0.14
mri_emb_148,7,0.14
mri_emb_18,7,0.14
mri_emb_428,7,0.14
mri_emb_598,7,0.14
mri_emb_455,7,0.14
mri_emb_516,7,0.14
mri_emb_539,7,0.14
mri_emb_330,7,0.14
mri_emb_329,7,0.14
mri_emb_30,7,0.14
mri_emb_338,7,0.14
mri_emb_860,7,0.14
mri_emb_284,6,0.12
mri_emb_420,6,0.12
mri_emb_487,6,0.12
mri_emb_720,6,0.12
mri_emb_313,6,0.12
mri_emb_708,6,0.12
mri_emb_641,6,0.12
mri_emb_76,6,0.12
mri_emb_166,6,0.12
mri_emb_201,6,0.12
mri_emb_533,6,0.12
mri_emb_312,6,0.12
mri_emb_577,6,0.12
mri_emb_674,6,0.12
mri_emb_290,6,0.12
mri_emb_569,6,0.12
mri_emb_749,6,0.12
mri_emb_675,6,0.12
mri_emb_799,6,0.12
mri_emb_390,5,0.1
