dimension,frequency,pct
mri_emb_1000,50,1.0
mri_emb_1001,50,1.0
mri_emb_1005,50,1.0
mri_emb_1007,50,1.0
mri_emb_1012,50,1.0
mri_emb_102,50,1.0
mri_emb_1020,50,1.0
mri_emb_1022,50,1.0
mri_emb_103,50,1.0
mri_emb_104,50,1.0
mri_emb_105,50,1.0
mri_emb_106,50,1.0
mri_emb_108,50,1.0
mri_emb_109,50,1.0
mri_emb_11,50,1.0
mri_emb_110,50,1.0
mri_emb_111,50,1.0
mri_emb_114,50,1.0
mri_emb_115,50,1.0
mri_emb_116,50,1.0
mri_emb_117,50,1.0
mri_emb_118,50,1.0
mri_emb_119,50,1.0
mri_emb_121,50,1.0
mri_emb_122,50,1.0
mri_emb_123,50,1.0
mri_emb_124,50,1.0
mri_emb_125,50,1.0
mri_emb_126,50,1.0
mri_emb_127,50,1.0
mri_emb_128,50,1.0
mri_emb_129,50,1.0
mri_emb_13,50,1.0
mri_emb_130,50,1.0
mri_emb_132,50,1.0
mri_emb_133,50,1.0
mri_emb_134,50,1.0
mri_emb_135,50,1.0
mri_emb_136,50,1.0
mri_emb_137,50,1.0
mri_emb_138,50,1.0
mri_emb_139,50,1.0
mri_emb_14,50,1.0
mri_emb_140,50,1.0
mri_emb_141,50,1.0
mri_emb_143,50,1.0
mri_emb_144,50,1.0
mri_emb_146,50,1.0
mri_emb_147,50,1.0
mri_emb_148,50,1.0
mri_emb_150,50,1.0
mri_emb_151,50,1.0
mri_emb_152,50,1.0
mri_emb_154,50,1.0
mri_emb_155,50,1.0
mri_emb_158,50,1.0
mri_emb_159,50,1.0
mri_emb_160,50,1.0
mri_emb_162,50,1.0
mri_emb_163,50,1.0
mri_emb_164,50,1.0
mri_emb_165,50,1.0
mri_emb_166,50,1.0
mri_emb_167,50,1.0
mri_emb_168,50,1.0
mri_emb_173,50,1.0
mri_emb_175,50,1.0
mri_emb_176,50,1.0
mri_emb_177,50,1.0
mri_emb_178,50,1.0
mri_emb_179,50,1.0
mri_emb_18,50,1.0
mri_emb_180,50,1.0
mri_emb_183,50,1.0
mri_emb_184,50,1.0
mri_emb_185,50,1.0
mri_emb_188,50,1.0
mri_emb_19,50,1.0
mri_emb_190,50,1.0
mri_emb_191,50,1.0
mri_emb_193,50,1.0
mri_emb_196,50,1.0
mri_emb_199,50,1.0
mri_emb_20,50,1.0
mri_emb_200,50,1.0
mri_emb_201,50,1.0
mri_emb_202,50,1.0
mri_emb_203,50,1.0
mri_emb_204,50,1.0
mri_emb_209,50,1.0
mri_emb_210,50,1.0
mri_emb_213,50,1.0
mri_emb_215,50,1.0
mri_emb_216,50,1.0
mri_emb_217,50,1.0
mri_emb_218,50,1.0
mri_emb_221,50,1.0
mri_emb_222,50,1.0
mri_emb_223,50,1.0
mri_emb_224,50,1.0
mri_emb_225,50,1.0
mri_emb_227,50,1.0
mri_emb_229,50,1.0
mri_emb_23,50,1.0
mri_emb_230,50,1.0
mri_emb_231,50,1.0
mri_emb_232,50,1.0
mri_emb_233,50,1.0
mri_emb_234,50,1.0
mri_emb_235,50,1.0
mri_emb_236,50,1.0
mri_emb_237,50,1.0
mri_emb_238,50,1.0
mri_emb_24,50,1.0
mri_emb_240,50,1.0
mri_emb_242,50,1.0
mri_emb_243,50,1.0
mri_emb_245,50,1.0
mri_emb_247,50,1.0
mri_emb_248,50,1.0
mri_emb_25,50,1.0
mri_emb_251,50,1.0
mri_emb_254,50,1.0
mri_emb_255,50,1.0
mri_emb_259,50,1.0
mri_emb_261,50,1.0
mri_emb_262,50,1.0
mri_emb_263,50,1.0
mri_emb_264,50,1.0
mri_emb_266,50,1.0
mri_emb_267,50,1.0
mri_emb_268,50,1.0
mri_emb_27,50,1.0
mri_emb_272,50,1.0
mri_emb_273,50,1.0
mri_emb_275,50,1.0
mri_emb_276,50,1.0
mri_emb_279,50,1.0
mri_emb_28,50,1.0
mri_emb_282,50,1.0
mri_emb_283,50,1.0
mri_emb_284,50,1.0
mri_emb_286,50,1.0
mri_emb_287,50,1.0
mri_emb_288,50,1.0
mri_emb_289,50,1.0
mri_emb_290,50,1.0
mri_emb_291,50,1.0
mri_emb_293,50,1.0
mri_emb_295,50,1.0
mri_emb_296,50,1.0
mri_emb_297,50,1.0
mri_emb_298,50,1.0
mri_emb_299,50,1.0
mri_emb_30,50,1.0
mri_emb_300,50,1.0
mri_emb_303,50,1.0
mri_emb_305,50,1.0
mri_emb_306,50,1.0
mri_emb_307,50,1.0
mri_emb_310,50,1.0
mri_emb_312,50,1.0
mri_emb_313,50,1.0
mri_emb_315,50,1.0
mri_emb_317,50,1.0
mri_emb_318,50,1.0
mri_emb_319,50,1.0
mri_emb_32,50,1.0
mri_emb_320,50,1.0
mri_emb_321,50,1.0
mri_emb_323,50,1.0
mri_emb_324,50,1.0
mri_emb_327,50,1.0
mri_emb_328,50,1.0
mri_emb_329,50,1.0
mri_emb_33,50,1.0
mri_emb_330,50,1.0
mri_emb_331,50,1.0
mri_emb_332,50,1.0
mri_emb_333,50,1.0
mri_emb_334,50,1.0
mri_emb_335,50,1.0
mri_emb_336,50,1.0
mri_emb_337,50,1.0
mri_emb_338,50,1.0
mri_emb_339,50,1.0
mri_emb_34,50,1.0
mri_emb_342,50,1.0
mri_emb_344,50,1.0
mri_emb_345,50,1.0
mri_emb_346,50,1.0
mri_emb_347,50,1.0
mri_emb_348,50,1.0
mri_emb_349,50,1.0
mri_emb_351,50,1.0
mri_emb_352,50,1.0
mri_emb_353,50,1.0
mri_emb_355,50,1.0
mri_emb_356,50,1.0
mri_emb_358,50,1.0
mri_emb_359,50,1.0
mri_emb_36,50,1.0
mri_emb_361,50,1.0
mri_emb_363,50,1.0
mri_emb_365,50,1.0
mri_emb_371,50,1.0
mri_emb_373,50,1.0
mri_emb_375,50,1.0
mri_emb_377,50,1.0
mri_emb_378,50,1.0
mri_emb_379,50,1.0
mri_emb_380,50,1.0
mri_emb_381,50,1.0
mri_emb_384,50,1.0
mri_emb_387,50,1.0
mri_emb_388,50,1.0
mri_emb_390,50,1.0
mri_emb_393,50,1.0
mri_emb_398,50,1.0
mri_emb_4,50,1.0
mri_emb_40,50,1.0
mri_emb_401,50,1.0
mri_emb_403,50,1.0
mri_emb_404,50,1.0
mri_emb_405,50,1.0
mri_emb_407,50,1.0
mri_emb_409,50,1.0
mri_emb_41,50,1.0
mri_emb_410,50,1.0
mri_emb_412,50,1.0
mri_emb_413,50,1.0
mri_emb_415,50,1.0
mri_emb_417,50,1.0
mri_emb_42,50,1.0
mri_emb_420,50,1.0
mri_emb_422,50,1.0
mri_emb_424,50,1.0
mri_emb_427,50,1.0
mri_emb_428,50,1.0
mri_emb_429,50,1.0
mri_emb_43,50,1.0
mri_emb_430,50,1.0
mri_emb_431,50,1.0
mri_emb_432,50,1.0
mri_emb_433,50,1.0
mri_emb_434,50,1.0
mri_emb_435,50,1.0
mri_emb_437,50,1.0
mri_emb_438,50,1.0
mri_emb_439,50,1.0
mri_emb_440,50,1.0
mri_emb_441,50,1.0
mri_emb_443,50,1.0
mri_emb_447,50,1.0
mri_emb_448,50,1.0
mri_emb_449,50,1.0
mri_emb_45,50,1.0
mri_emb_450,50,1.0
mri_emb_451,50,1.0
mri_emb_452,50,1.0
mri_emb_455,50,1.0
mri_emb_456,50,1.0
mri_emb_457,50,1.0
mri_emb_459,50,1.0
mri_emb_46,50,1.0
mri_emb_460,50,1.0
mri_emb_462,50,1.0
mri_emb_465,50,1.0
mri_emb_466,50,1.0
mri_emb_468,50,1.0
mri_emb_469,50,1.0
mri_emb_471,50,1.0
mri_emb_473,50,1.0
mri_emb_475,50,1.0
mri_emb_48,50,1.0
mri_emb_480,50,1.0
mri_emb_481,50,1.0
mri_emb_483,50,1.0
mri_emb_484,50,1.0
mri_emb_486,50,1.0
mri_emb_487,50,1.0
mri_emb_488,50,1.0
mri_emb_489,50,1.0
mri_emb_49,50,1.0
mri_emb_490,50,1.0
mri_emb_491,50,1.0
mri_emb_493,50,1.0
mri_emb_494,50,1.0
mri_emb_495,50,1.0
mri_emb_499,50,1.0
mri_emb_5,50,1.0
mri_emb_50,50,1.0
mri_emb_500,50,1.0
mri_emb_501,50,1.0
mri_emb_503,50,1.0
mri_emb_505,50,1.0
mri_emb_508,50,1.0
mri_emb_509,50,1.0
mri_emb_51,50,1.0
mri_emb_510,50,1.0
mri_emb_515,50,1.0
mri_emb_521,50,1.0
mri_emb_525,50,1.0
mri_emb_533,50,1.0
mri_emb_535,50,1.0
mri_emb_539,50,1.0
mri_emb_54,50,1.0
mri_emb_546,50,1.0
mri_emb_55,50,1.0
mri_emb_552,50,1.0
mri_emb_553,50,1.0
