rep,knn_k,sigma,sigma_mult,mean_macro_f1,std_macro_f1,arm
None,3,2.087259212329571,7.2457893141112555,0.6231226965604777,0.1111838174915959,hard
None,1,0.009002035190047419,0.031249999999999993,0.6116587736585515,0.11440367647815654,hard
None,5,2.087259212329571,7.2457893141112555,0.6101117048065328,0.1183947528760396,hard
None,10,0.08054770767574831,0.2796163102817059,0.6093190814194953,0.1139120712438603,hard
None,20,0.09521122670429845,0.3305197959900058,0.5980146704485546,0.11576704936785263,hard
None,40,0.1840072438865736,0.6387695948814808,0.5747885500458222,0.11011590121711602,hard
None,None,0.1840072438865736,0.6387695948814808,0.5747885500458222,0.11011590121711602,hard
None,3,0.03597326824000319,0.1248789422355255,0.6346128507633018,0.10312867891867238,soft
None,5,0.03658002771018181,0.12698526964291504,0.6173551843958528,0.10642915103077802,soft
None,1,0.009002035190047419,0.031249999999999993,0.6116587736585515,0.11440367647815654,soft
None,10,0.03709409866429671,0.12876983468592348,0.598611509424553,0.10107834169194037,soft
None,20,0.11855508900037559,0.41155654838561245,0.5924094831094832,0.1127373668678885,soft
None,40,0.12622982044608008,0.4381988967673901,0.5812821970300232,0.10976638374712308,soft
None,None,0.12482587398313102,0.43332518476327975,0.5765997960171874,0.11340697601369763,soft
