rep,knn_k,sigma,sigma_mult,mean_macro_f1,std_macro_f1,arm
"(500, 0.9)",3,0.3373623840977281,0.2623796793433531,0.6443160562743817,0.10831273409159732,hard
"(500, 0.9)",5,0.3458018588297127,0.26894338288109837,0.643587251943178,0.11358951301698518,hard
"(500, 0.9)",40,0.2598903581845075,0.20212671020586218,0.6411348847745434,0.10919790105705632,hard
"(500, 0.9)",10,0.3272365887574975,0.2545044595212863,0.6403718469700531,0.11510317087189986,hard
"(500, 0.9)",None,0.293158305228481,0.22800046996468826,0.6403209982437906,0.11189262437572116,hard
"(500, 0.9)",20,0.2590254940331146,0.20145407214834746,0.6398303241727187,0.11192660127472545,hard
"(2000, 0.9)",5,0.6168514860562988,0.4714312633583657,0.6270682833706828,0.11798567426775702,hard
"(None, 0.9)",5,0.6168514860562988,0.4714312633583657,0.6270682833706828,0.11798567426775702,hard
"(500, 0.9)",1,0.04018060594264951,0.03125000000000001,0.6204350172825135,0.10984292428083962,hard
"(2000, 0.9)",3,0.4860930196882721,0.3714985722842372,0.6198986710904297,0.11547769412747491,hard
"(None, 0.9)",3,0.4860930196882721,0.3714985722842372,0.6198986710904297,0.11547769412747491,hard
"(2000, 0.9)",40,0.3962010297285927,0.30279825243346936,0.6197571047198116,0.11639226031836979,hard
"(None, 0.9)",40,0.3962010297285927,0.30279825243346936,0.6197571047198116,0.11639226031836979,hard
"(2000, 0.9)",None,0.42070432645559014,0.3215249968664057,0.6184667582015407,0.11957485209316712,hard
"(None, 0.9)",None,0.42070432645559014,0.3215249968664057,0.6184667582015407,0.11957485209316712,hard
"(2000, 0.9)",20,0.29627701410674434,0.22643091606597673,0.6108456573063047,0.11291988751477655,hard
"(None, 0.9)",20,0.29627701410674434,0.22643091606597673,0.6108456573063047,0.11291988751477655,hard
"(2000, 0.9)",10,0.401584405885867,0.30691251961175336,0.610138353744539,0.11380080554996415,hard
"(None, 0.9)",10,0.401584405885867,0.30691251961175336,0.610138353744539,0.11380080554996415,hard
"(2000, 0.9)",1,0.04088954305223057,0.03125000000000001,0.590627045255986,0.09943374214323394,hard
"(None, 0.9)",1,0.04088954305223057,0.03125000000000001,0.590627045255986,0.09943374214323394,hard
"(500, 0.9)",None,0.2609657038533896,0.202963047821092,0.6418732500947302,0.10666804805884053,soft
"(500, 0.9)",5,0.29114020517376493,0.2264309160659767,0.6418302702697808,0.11350839297202099,soft
"(500, 0.9)",3,0.24892314232788432,0.19359708534135284,0.6409129103748735,0.10962377117385641,soft
"(2000, 0.9)",3,0.6714530801130123,0.5131607542478271,0.6402420460187723,0.11281021451364527,soft
"(None, 0.9)",3,0.6714530801130123,0.5131607542478271,0.6402420460187723,0.11281021451364527,soft
"(2000, 0.9)",5,0.38714043387165137,0.2958736551062813,0.6400564512925092,0.11191308276086472,soft
"(None, 0.9)",5,0.38714043387165137,0.2958736551062813,0.6400564512925092,0.11191308276086472,soft
"(2000, 0.9)",None,0.3688201164180011,0.28187227779337587,0.6380592628386106,0.11486528304082137,soft
"(None, 0.9)",None,0.3688201164180011,0.28187227779337587,0.6380592628386106,0.11486528304082137,soft
"(2000, 0.9)",40,0.36789402196054494,0.2811645063282231,0.6371864682419031,0.1134608884147852,soft
"(None, 0.9)",40,0.36789402196054494,0.2811645063282231,0.6371864682419031,0.1134608884147852,soft
"(500, 0.9)",10,0.2899687007154582,0.2255197920681371,0.6363289536976238,0.11032921094830946,soft
"(2000, 0.9)",10,0.37578650988583906,0.2871963724058262,0.6343724896422432,0.11447773718510235,soft
"(None, 0.9)",10,0.37578650988583906,0.2871963724058262,0.6343724896422432,0.11447773718510235,soft
"(500, 0.9)",40,0.2888949252900151,0.22468467569152017,0.6343186240622571,0.11015072398365762,soft
"(2000, 0.9)",20,0.3383724775753575,0.25860254566119667,0.6338195025215283,0.11131589563903706,soft
"(None, 0.9)",20,0.3383724775753575,0.25860254566119667,0.6338195025215283,0.11131589563903706,soft
"(500, 0.9)",20,0.2702423014054664,0.21017781391785448,0.6329958703554711,0.11037446826370122,soft
"(500, 0.9)",1,0.04018060594264951,0.03125000000000001,0.6204350172825135,0.10984292428083962,soft
"(2000, 0.9)",1,0.04088954305223057,0.03125000000000001,0.590627045255986,0.09943374214323394,soft
"(None, 0.9)",1,0.04088954305223057,0.03125000000000001,0.590627045255986,0.09943374214323394,soft
